variable,stat,1999–2021 (Paper Period),2021–2026 (Extended),Full Sample
debtsec_pct,Max,6.707937169286011,7.038340392106221,7.038340392106221
debtsec_pct,Mean,0.516374269779582,0.17649577816611883,0.4564269690274062
debtsec_pct,Min,-6.137340864240518,-5.355379186158788,-6.137340864240518
debtsec_pct,N,5795,1241,7036
debtsec_pct,SD,1.7153841640216847,2.4245700342726093,1.8645137293319056
direct_pct,Max,3.691827121876938,1.8328377032291416,3.691827121876938
direct_pct,Mean,0.10845659501113507,0.24710825382900314,0.13291178383901653
direct_pct,Min,-1.2557825525402255,-1.3028835422929983,-1.3028835422929983
direct_pct,N,5795,1241,7036
direct_pct,SD,0.2921218970118615,0.4445918548811934,0.3285042565990583
equity_pct,Max,4.722939308304997,3.8499551115790136,4.722939308304997
equity_pct,Mean,0.21737600634458654,0.17314688127792505,0.20957493411494976
equity_pct,Min,-3.748355330089336,-3.555258831600178,-3.748355330089336
equity_pct,N,5795,1241,7036
equity_pct,SD,1.1625644432913775,1.317466991375545,1.191369540932362
log_nikkei,Max,10.324424026128833,11.189496604958931,11.189496604958931
log_nikkei,Mean,9.556488025727218,10.458156101313879,9.72793684379489
log_nikkei,Min,8.861489026645573,10.11526795903912,8.861489026645573
log_nikkei,N,5260,1235,6495
log_nikkei,SD,0.32633005333274306,0.24040810375708085,0.47163149358177464
log_reer,Max,4.875821494930732,4.265914077990263,4.875821494930732
log_reer,Mean,4.515710949207847,4.0657501599617305,4.431872425291869
log_reer,Min,4.2050431595189375,3.9183400854440937,3.9183400854440937
log_reer,N,5795,1327,7122
log_reer,SD,0.17112545125270567,0.09120935713014865,0.2368024963331056
log_rgdp,Max,13.28101907561022,13.29331858125889,13.29331858125889
log_rgdp,Mean,13.19324681266015,13.278891535195363,13.208352710992468
log_rgdp,Min,13.08883974458834,13.258160404591798,13.08883974458834
log_rgdp,N,5795,1241,7036
log_rgdp,SD,0.05066428072311912,0.009079422893418872,0.05651812237749105
log_wui,Max,-0.6186392968471197,0.19286771667724584,0.19286771667724584
log_wui,Mean,-1.7987250719208183,-1.9812677943667756,-1.8309217061669003
log_wui,Min,-3.031692811185426,-3.912839848907659,-3.912839848907659
log_wui,N,5795,1241,7036
log_wui,SD,0.5927548211331626,1.0811833960390012,0.7072912919944588
other_pct,Max,28.547361520437864,15.40660158305918,28.547361520437864
other_pct,Mean,0.39182483395064016,1.1310758536745915,0.5222129117615307
other_pct,Min,-10.6442341160102,-7.74947114291283,-10.6442341160102
other_pct,N,5795,1241,7036
other_pct,SD,3.155601480454243,4.399145080915905,3.4193159756524074
risk_off,Max,1,1,1
risk_off,Mean,0.03182640144665447,0.018982536066818496,0.029355922301737714
risk_off,Min,0,0,0
risk_off,N,5530,1317,6847
risk_off,SD,0.17555356642220096,0.13651501748426995,0.16881443744019958
spread,Max,-0.49599998569488524,-1.1520000247955322,-0.49599998569488524
spread,Mean,-2.4366601992063273,-2.701448134024294,-2.4869833643942783
spread,Min,-5.059000137329102,-4.14299991607666,-5.059000137329102
spread,N,5259,1234,6493
spread,SD,0.9312937529565978,0.7738946032956229,0.9093917875265145
