experiment,variable,horizon,response
e1_restricted,log_rgdp,0,-0.0001161453777206
e1_restricted,log_rgdp,1,-0.0003027634419614
e1_restricted,log_rgdp,3,-0.0002152608073155
e1_restricted,log_rgdp,6,-0.0002758719864424
e1_restricted,log_rgdp,12,0.0004397297719309
e1_restricted,log_rgdp,24,0.0010856249918334
e1_restricted,log_rgdp,40,0.0016810128300192
e1_restricted,log_wui,0,0.006315204614493
e1_restricted,log_wui,1,0.0008037957708871
e1_restricted,log_wui,3,-0.0291535673721916
e1_restricted,log_wui,6,-0.0616417720769203
e1_restricted,log_wui,12,-0.0337619878443314
e1_restricted,log_wui,24,-0.0398191722503007
e1_restricted,log_wui,40,-0.0475232430725252
e1_restricted,log_reer,0,0.0028213475009214
e1_restricted,log_reer,1,0.003853892079485
e1_restricted,log_reer,3,0.0027593106803379
e1_restricted,log_reer,6,0.0012372492174985
e1_restricted,log_reer,12,-0.0014170852168721
e1_restricted,log_reer,24,-0.0037866119387437
e1_restricted,log_reer,40,-0.0052283553060745
e1_restricted,spread,0,0.0157444667116956
e1_restricted,spread,1,0.0617444010906109
e1_restricted,spread,3,0.1024590479392461
e1_restricted,spread,6,0.1088962533490028
e1_restricted,spread,12,0.0904260546548803
e1_restricted,spread,24,0.0587157401915235
e1_restricted,spread,40,0.0429871364941307
e1_restricted,log_nikkei,0,-0.0146537677691274
e1_restricted,log_nikkei,1,-0.0161471613534547
e1_restricted,log_nikkei,3,-0.0168424313205251
e1_restricted,log_nikkei,6,-0.0191737847180191
e1_restricted,log_nikkei,12,-0.0129830563605735
e1_restricted,log_nikkei,24,-0.000419359899047
e1_restricted,log_nikkei,40,0.0067826630716658
e1_restricted,debtsec_pct,0,-0.0787706704694861
e1_restricted,debtsec_pct,1,-0.1086045174630328
e1_restricted,debtsec_pct,3,0.3756904660894258
e1_restricted,debtsec_pct,6,0.0973433253167304
e1_restricted,debtsec_pct,12,0.009152212612351
e1_restricted,debtsec_pct,24,0.0169932250864073
e1_restricted,debtsec_pct,40,0.0209155598762562
e1_restricted,equity_pct,0,-0.1227146699952052
e1_restricted,equity_pct,1,-0.0165761594507107
e1_restricted,equity_pct,3,-0.0936051027634372
e1_restricted,equity_pct,6,-0.0575314580604709
e1_restricted,equity_pct,12,0.0014942243065421
e1_restricted,equity_pct,24,0.0011290210441403
e1_restricted,equity_pct,40,-0.0069720369571773
e1_restricted,other_pct,0,0.0252302556196739
e1_restricted,other_pct,1,-0.016617743761782
e1_restricted,other_pct,3,-0.3328967163931474
e1_restricted,other_pct,6,-0.0538909784167928
e1_restricted,other_pct,12,-0.0350633504409818
e1_restricted,other_pct,24,-0.0552510650577669
e1_restricted,other_pct,40,-0.0490436428754188
e1_restricted,direct_pct,0,0.0252627416035447
e1_restricted,direct_pct,1,-0.0368717438916311
e1_restricted,direct_pct,3,-0.0049343995665251
e1_restricted,direct_pct,6,-0.0126776842669797
e1_restricted,direct_pct,12,-0.0087448119783124
e1_restricted,direct_pct,24,-0.0039679784509015
e1_restricted,direct_pct,40,-0.0031316320519011
e1_unrestricted,log_rgdp,0,-0.0001410485698251
e1_unrestricted,log_rgdp,1,-0.0003987671305965
e1_unrestricted,log_rgdp,3,-0.0006085914436715
e1_unrestricted,log_rgdp,6,-0.0008357790176524
e1_unrestricted,log_rgdp,12,-0.0004019411469827
e1_unrestricted,log_rgdp,24,-0.0001694977482942
e1_unrestricted,log_rgdp,40,1.8294066588028583e-05
e1_unrestricted,log_wui,0,0.0076692727382522
e1_unrestricted,log_wui,1,0.0068734894445663
e1_unrestricted,log_wui,3,-0.0054831704036446
e1_unrestricted,log_wui,6,-0.0147048180272541
e1_unrestricted,log_wui,12,0.0049667951754487
e1_unrestricted,log_wui,24,-0.002086396925229
e1_unrestricted,log_wui,40,-0.0013594314778508
e1_unrestricted,log_reer,0,0.0034262838331924
e1_unrestricted,log_reer,1,0.004448754057556
e1_unrestricted,log_reer,3,0.0031774119148597
e1_unrestricted,log_reer,6,0.0019908335676917
e1_unrestricted,log_reer,12,0.0003476294248342
e1_unrestricted,log_reer,24,-0.0004439364286469
e1_unrestricted,log_reer,40,-0.0004311834963844
e1_unrestricted,spread,0,0.0191203004021674
e1_unrestricted,spread,1,0.0600086927958155
e1_unrestricted,spread,3,0.0835400020839391
e1_unrestricted,spread,6,0.0763206797733047
e1_unrestricted,spread,12,0.0461064431612492
e1_unrestricted,spread,24,0.0206997327952578
e1_unrestricted,spread,40,0.006346053652898
e1_unrestricted,log_nikkei,0,-0.0177957403638965
e1_unrestricted,log_nikkei,1,-0.0199463068989539
e1_unrestricted,log_nikkei,3,-0.0215236657591894
e1_unrestricted,log_nikkei,6,-0.0218934845376373
e1_unrestricted,log_nikkei,12,-0.0151177845226587
e1_unrestricted,log_nikkei,24,-0.0069940003149719
e1_unrestricted,log_nikkei,40,-0.0026872254032033
e1_unrestricted,debtsec_pct,0,-0.0956602030310678
e1_unrestricted,debtsec_pct,1,-0.0967405871334879
e1_unrestricted,debtsec_pct,3,0.3250602745467384
e1_unrestricted,debtsec_pct,6,0.0976204233022515
e1_unrestricted,debtsec_pct,12,-0.0015795568999954
e1_unrestricted,debtsec_pct,24,-0.0002912153446662
e1_unrestricted,debtsec_pct,40,-0.0008542865540982
e1_unrestricted,equity_pct,0,-0.1490264101685081
e1_unrestricted,equity_pct,1,-0.0275147392592547
e1_unrestricted,equity_pct,3,-0.0874065605380117
e1_unrestricted,equity_pct,6,-0.0341620928712332
e1_unrestricted,equity_pct,12,0.0113249415494182
e1_unrestricted,equity_pct,24,0.0063409864413438
e1_unrestricted,equity_pct,40,0.0024370063376545
e1_unrestricted,other_pct,0,0.0306399750150037
e1_unrestricted,other_pct,1,0.0217343545943153
e1_unrestricted,other_pct,3,-0.2354496303062115
e1_unrestricted,other_pct,6,-0.0524738814255185
e1_unrestricted,other_pct,12,-0.0003822569554145
e1_unrestricted,other_pct,24,-0.0080354486738148
e1_unrestricted,other_pct,40,-0.0002122283542043
e1_unrestricted,direct_pct,0,0.0306794264478701
e1_unrestricted,direct_pct,1,-0.0368917077004636
e1_unrestricted,direct_pct,3,-0.0041419541240501
e1_unrestricted,direct_pct,6,-0.0065038292795671
e1_unrestricted,direct_pct,12,-0.0063388399569341
e1_unrestricted,direct_pct,24,-0.0017095146026584
e1_unrestricted,direct_pct,40,-0.000787247303056
e2_restricted,log_rgdp,0,9.487993891869488e-05
e2_restricted,log_rgdp,1,-0.0012841318627643
e2_restricted,log_rgdp,3,-0.0038426267527397
e2_restricted,log_rgdp,6,-0.0032879706742184
e2_restricted,log_rgdp,12,-0.0027854518188774
e2_restricted,log_rgdp,24,-0.0021615288714257
e2_restricted,log_rgdp,40,-0.0016558791362122
e2_restricted,log_wui,0,0.0072809690965667
e2_restricted,log_wui,1,0.0091074967229414
e2_restricted,log_wui,3,0.0202844881909791
e2_restricted,log_wui,6,0.0260343785485289
e2_restricted,log_wui,12,-0.0107537288921159
e2_restricted,log_wui,24,-0.0119113579445186
e2_restricted,log_wui,40,-0.0133472542742635
e2_restricted,log_reer,0,0.0036368650798803
e2_restricted,log_reer,1,0.0055361175155995
e2_restricted,log_reer,3,0.0044021397092738
e2_restricted,log_reer,6,0.0024904229113726
e2_restricted,log_reer,12,0.0002757272681921
e2_restricted,log_reer,24,-0.0011913804785399
e2_restricted,log_reer,40,-0.0008590894436044
e2_restricted,spread,0,0.0148511140407911
e2_restricted,spread,1,0.0649740981898215
e2_restricted,spread,3,0.1146342180104776
e2_restricted,spread,6,0.1119109134455935
e2_restricted,spread,12,0.0752216970429127
e2_restricted,spread,24,0.039089454318786
e2_restricted,spread,40,0.0130785619328454
e2_restricted,log_nikkei,0,-0.017128685395398
e2_restricted,log_nikkei,1,-0.018641549275317
e2_restricted,log_nikkei,3,-0.0153219720119697
e2_restricted,log_nikkei,6,-0.008847393641566
e2_restricted,log_nikkei,12,-0.0003466025504747
e2_restricted,log_nikkei,24,0.0113112789529829
e2_restricted,log_nikkei,40,0.0183193672717561
e2_restricted,debtsec_pct,0,-0.0986239448568406
e2_restricted,debtsec_pct,1,-0.1508391942332589
e2_restricted,debtsec_pct,3,0.0437313906450815
e2_restricted,debtsec_pct,6,0.0036860707659805
e2_restricted,debtsec_pct,12,-0.003543395644029
e2_restricted,debtsec_pct,24,0.0002707094744273
e2_restricted,debtsec_pct,40,0.0038926211547014
e2_restricted,equity_pct,0,-0.1554192649077488
e2_restricted,equity_pct,1,-0.0140493577435495
e2_restricted,equity_pct,3,-0.0434288268613548
e2_restricted,equity_pct,6,0.0032967004648508
e2_restricted,equity_pct,12,-0.0042936876952887
e2_restricted,equity_pct,24,-0.0110322520207152
e2_restricted,equity_pct,40,-0.0137562254592603
e2_restricted,other_pct,0,0.1788857945642868
e2_restricted,other_pct,1,-0.0034066720515531
e2_restricted,other_pct,3,-0.2133844813579383
e2_restricted,other_pct,6,-0.0999007543422663
e2_restricted,other_pct,12,-0.0801929908183244
e2_restricted,other_pct,24,-0.0666815601394842
e2_restricted,other_pct,40,-0.0568473756343344
e2_restricted,direct_pct,0,0.0117179753142058
e2_restricted,direct_pct,1,-0.0127391755475405
e2_restricted,direct_pct,3,0.0434513285797904
e2_restricted,direct_pct,6,0.0055034522020954
e2_restricted,direct_pct,12,0.0064224756167017
e2_restricted,direct_pct,24,0.0083039770071004
e2_restricted,direct_pct,40,0.0089743598414219
e2_unrestricted,log_rgdp,0,0.0001105185496102
e2_unrestricted,log_rgdp,1,-0.0011569661318695
e2_unrestricted,log_rgdp,3,-0.0031731627661035
e2_unrestricted,log_rgdp,6,-0.0018113655048811
e2_unrestricted,log_rgdp,12,-0.001524517049287
e2_unrestricted,log_rgdp,24,-0.0007013846685844
e2_unrestricted,log_rgdp,40,-0.0002364432518711
e2_unrestricted,log_wui,0,0.008481056727903
e2_unrestricted,log_wui,1,0.0130012267724802
e2_unrestricted,log_wui,3,0.031616832312704
e2_unrestricted,log_wui,6,0.0390890425183782
e2_unrestricted,log_wui,12,-0.0051073246332512
e2_unrestricted,log_wui,24,-0.0005381259401251
e2_unrestricted,log_wui,40,0.0019255625539878
e2_unrestricted,log_reer,0,0.0042363123157252
e2_unrestricted,log_reer,1,0.0060701494903087
e2_unrestricted,log_reer,3,0.0048951230185956
e2_unrestricted,log_reer,6,0.0033687677964267
e2_unrestricted,log_reer,12,0.0018459156297471
e2_unrestricted,log_reer,24,0.000343262715926
e2_unrestricted,log_reer,40,-0.0001272756734156
e2_unrestricted,spread,0,0.0172989527880188
e2_unrestricted,spread,1,0.0623675505693656
e2_unrestricted,spread,3,0.0945998988528415
e2_unrestricted,spread,6,0.0712037248423207
e2_unrestricted,spread,12,0.0496166018244558
e2_unrestricted,spread,24,0.0230754232546126
e2_unrestricted,spread,40,0.0098076941805988
e2_unrestricted,log_nikkei,0,-0.0199519254354888
e2_unrestricted,log_nikkei,1,-0.0226886038422261
e2_unrestricted,log_nikkei,3,-0.0212431258538965
e2_unrestricted,log_nikkei,6,-0.0181234335391227
e2_unrestricted,log_nikkei,12,-0.0130442155965776
e2_unrestricted,log_nikkei,24,-0.0068096185826076
e2_unrestricted,log_nikkei,40,-0.0033402368727789
e2_unrestricted,debtsec_pct,0,-0.1148796623041599
e2_unrestricted,debtsec_pct,1,-0.1340802312955081
e2_unrestricted,debtsec_pct,3,0.0637999565529326
e2_unrestricted,debtsec_pct,6,0.0048457975720859
e2_unrestricted,debtsec_pct,12,-0.0035159626351893
e2_unrestricted,debtsec_pct,24,-0.0032899907876966
e2_unrestricted,debtsec_pct,40,-0.0010127737400182
e2_unrestricted,equity_pct,0,-0.1810362858034045
e2_unrestricted,equity_pct,1,-0.0328280457824155
e2_unrestricted,equity_pct,3,-0.0469308926631625
e2_unrestricted,equity_pct,6,0.014544866073351
e2_unrestricted,equity_pct,12,0.003371452619678
e2_unrestricted,equity_pct,24,0.0012571412855949
e2_unrestricted,equity_pct,40,0.0012496628031541
