variable,horizon,response
risk_off,0,0.09887503989921978
risk_off,1,0.050757067395639066
risk_off,3,0.01440179835786112
risk_off,6,0.005568126752710508
risk_off,12,0.0028982161838920295
risk_off,24,0.0016055474488920235
risk_off,125,0.0033861257386977005
log_wui,0,4.938296654456144e-06
log_wui,1,0.000502249048890485
log_wui,3,0.0002991243388892017
log_wui,6,0.0008880582599045473
log_wui,12,-0.001982163250821861
log_wui,24,-0.0034457312400993883
log_wui,125,-0.0015110207792975927
spread,0,0.004135359077158098
spread,1,0.002698086361575389
spread,3,0.003597641823620988
spread,6,0.003757566882859356
spread,12,0.006948560415176754
spread,24,0.00718634914249333
spread,125,0.009018419950247688
log_rgdp,0,-1.8180729985841565e-05
log_rgdp,1,-4.699075628261239e-05
log_rgdp,3,-7.29816802563579e-05
log_rgdp,6,-9.190586554955677e-05
log_rgdp,12,-0.00016703647233443764
log_rgdp,24,-0.00023126779385113658
log_rgdp,125,-0.00039969176776050516
log_reer,0,5.294474360774458e-05
log_reer,1,0.00011505630431182265
log_reer,3,0.00021800154624713309
log_reer,6,0.0004176797535228526
log_reer,12,0.0005816900515961842
log_reer,24,0.0006985493750787589
log_reer,125,0.0011704480238907253
log_nikkei,0,-0.0013648425073258719
log_nikkei,1,-0.003131283655738128
log_nikkei,3,-0.002935474132460122
log_nikkei,6,-0.002738534082823707
log_nikkei,12,-0.0028447511285979994
log_nikkei,24,-0.003058705990709264
log_nikkei,125,-0.0042540963377890855
debtsec_pct,0,0.003917680216126819
debtsec_pct,1,-0.004557734807166661
debtsec_pct,3,-0.029063443493362536
debtsec_pct,6,-0.02650112905359027
debtsec_pct,12,-0.022293971766983292
debtsec_pct,24,-0.0027558501808434064
debtsec_pct,125,-0.0068998193811869715
equity_pct,0,0.0018548252000115326
equity_pct,1,0.000322445931216799
equity_pct,3,-0.011807075961978804
equity_pct,6,-0.013666491439580784
equity_pct,12,-0.02783311866319774
equity_pct,24,-0.009522540549051592
equity_pct,125,-0.006453905900275483
other_pct,0,0.002739060245065895
other_pct,1,0.018578695784483828
other_pct,3,0.07673904986970809
other_pct,6,0.09664617089270429
other_pct,12,0.07047607824640827
other_pct,24,-0.002388633928086214
other_pct,125,0.004818574963460627
direct_pct,0,0.0003474380711177556
direct_pct,1,0.0002056415174737776
direct_pct,3,-0.000627211343705886
direct_pct,6,0.001045323248070797
direct_pct,12,0.0017474516825612802
direct_pct,24,-0.0004119714103953731
direct_pct,125,0.0003733695032835692
