variable,horizon,response
risk_off,0,0.09887503989921978
risk_off,1,0.050754385160366344
risk_off,3,0.01440400390456562
risk_off,6,0.005560625822849516
risk_off,12,0.002889677107801833
risk_off,24,0.0015804926177734268
risk_off,125,0.0033547297993729197
log_wui,0,-6.639355466447032e-06
log_wui,1,0.00048795336380595195
log_wui,3,0.0002830359864287827
log_wui,6,0.0008778977851168132
log_wui,12,-0.001975364201269561
log_wui,24,-0.003451608441649688
log_wui,125,-0.001605187547154308
spread,0,0.0041313213785634535
spread,1,0.00272206075989367
spread,3,0.003596253376430278
spread,6,0.003740414857926988
spread,12,0.006940250943713428
spread,24,0.007183020550446829
spread,125,0.009004652245661628
log_rgdp,0,-2.143343656897738e-05
log_rgdp,1,-5.385414996310394e-05
log_rgdp,3,-8.351928909153543e-05
log_rgdp,6,-0.00010683628875031983
log_rgdp,12,-0.0001943601384454428
log_rgdp,24,-0.00026232649215703784
log_rgdp,125,-0.0004340481173368676
log_reer,0,5.298318966120422e-05
log_reer,1,0.00011519899042884466
log_reer,3,0.0002182519234655712
log_reer,6,0.0004179416654057733
log_reer,12,0.0005816802807737083
log_reer,24,0.0007002987601354192
log_reer,125,0.001178054485433996
log_nikkei,0,-0.0013638857778492464
log_nikkei,1,-0.0031326809163309244
log_nikkei,3,-0.002936052108928245
log_nikkei,6,-0.002735400606570537
log_nikkei,12,-0.0028400862821574492
log_nikkei,24,-0.0030544951928157455
log_nikkei,125,-0.004226184850322908
debtsec_pct,0,0.0039657528124446804
debtsec_pct,1,-0.004488457911773452
debtsec_pct,3,-0.02894338272649416
debtsec_pct,6,-0.026347497790298262
debtsec_pct,12,-0.021970984424429428
debtsec_pct,24,-0.00260249486301996
debtsec_pct,125,-0.0072535431780245425
equity_pct,0,0.0019036433085499573
equity_pct,1,0.00041509722717533514
equity_pct,3,-0.011657189479811628
equity_pct,6,-0.013507077851147176
equity_pct,12,-0.02759988177197349
equity_pct,24,-0.00965161195153054
equity_pct,125,-0.006638113948731833
other_pct,0,0.0026943883066959046
other_pct,1,0.018418916463558734
other_pct,3,0.07643262223685277
other_pct,6,0.09636022750809184
other_pct,12,0.07033983191068073
other_pct,24,-0.00237730692037077
other_pct,125,0.00392668987624398
direct_pct,0,0.00034470893894794115
direct_pct,1,0.00020222374239904064
direct_pct,3,-0.0006336125314000321
direct_pct,6,0.0010408646740430172
direct_pct,12,0.00170616792723999
direct_pct,24,-0.00039022063247476173
direct_pct,125,0.0005483115825583616
