財務省　国際収支状況（対外・対内直接投資）,,,,,,,,,,,,,
Ⅰ.対外直接投資総括表,,,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,,,
6d-0-1 暦年,,,,,,,,,,,,,
   （単位　億円）,,,,,,,,,,,,,
,,,,,,,,,,,,,
Japan's Balance of Payments(Direct Investment Assets/Liabilities),,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,
Ⅰ.Summary of Direct Investment Assets,,,,,,,,,,,,,
   Not seasonally adjusted,,,,,,,,,,,,,
  (1996C.Y.-present),,,,,,,,,,,,,
6d-0-1 Annual figures (calendar year),,,,,,,,,,,,,
  (100 million Yen) ,,,,,,,,,,,,,
,,,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,
,③ 令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている,,,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,
,"③ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,,,
,,,,,,,,,,,,,
　　,,,,,,,,,,,,,
,,対外直接投資,,,,,,,,,,,
,,Direct Investment Assets,,,,,,,,,,,
,,,,,株式資本,,,収益の再投資,,,負債性資本,,
,,,,,Equity other than reinvestment of earnings,,,Reinvestment of earnings,,,Debt instruments,,
,,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット
,,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net
平成8年,1996C.Y.,          --,          --,"28,617",          --,          --,"20,307",          --,          --,"4,958",          --,          --,"3,352"
平成9年,1997C.Y.,          --,          --,"28,954",          --,          --,"26,092",          --,          --,"3,645",          --,          --,-783
平成10年,1998C.Y.,          --,          --,"25,309",          --,          --,"19,945",          --,          --,"-3,022",          --,          --,"8,386"
平成11年,1999C.Y.,          --,          --,"27,783",          --,          --,"22,753",          --,          --,"2,570",          --,          --,"2,460"
平成12年,2000C.Y.,          --,          --,"48,516",          --,          --,"33,291",          --,          --,"12,075",          --,          --,"3,150"
平成13年,2001C.Y.,          --,          --,"43,012",          --,          --,"31,671",          --,          --,"6,239",          --,          --,"5,102"
平成14年,2002C.Y.,          --,          --,"38,997",          --,          --,"29,900",          --,          --,"5,789",          --,          --,"3,308"
平成15年,2003C.Y.,          --,          --,"39,939",          --,          --,"24,152",          --,          --,"9,408",          --,          --,"6,380"
平成16年,2004C.Y.,          --,          --,"43,995",          --,          --,"22,686",          --,          --,"16,915",          --,          --,"4,394"
平成17年,2005C.Y.,          --,          --,"57,205",          --,          --,"32,026",          --,          --,"20,212",          --,          --,"4,968"
平成18年,2006C.Y.,          --,          --,"67,705",          --,          --,"33,537",          --,          --,"25,817",          --,          --,"8,352"
平成19年,2007C.Y.,          --,          --,"86,150",          --,          --,"61,268",          --,          --,"21,658",          --,          --,"3,224"
平成20年,2008C.Y.,          --,          --,"114,546",          --,          --,"97,778",          --,          --,"2,334",          --,          --,"14,434"
平成21年,2009C.Y.,          --,          --,"68,772",          --,          --,"53,462",          --,          --,"7,065",          --,          --,"8,245"
平成22年,2010C.Y.,          --,          --,"69,147",          --,          --,"47,561",          --,          --,"19,161",          --,          --,"2,425"
平成23年,2011C.Y.,          --,          --,"92,408",          --,          --,"66,623",          --,          --,"19,338",          --,          --,"6,447"
平成24年,2012C.Y.,          --,          --,"93,998",          --,          --,"66,207",          --,          --,"16,781",          --,          --,"11,010"
平成25年,2013C.Y.,          --,          --,"152,960",          --,          --,"105,161",          --,          --,"37,073",          --,          --,"10,727"
平成26年,2014C.Y.,"791,606","644,985","146,622","125,654","48,488","77,165","48,756",          --,"48,756","617,197","596,496","20,701"
平成27年,2015C.Y.,"707,362","539,772","167,591","129,980","34,606","95,374","54,821",          --,"54,821","522,561","505,166","17,395"
平成28年,2016C.Y.,"561,611","368,109","193,502","187,854","72,037","115,818","67,788",          --,"67,788","305,969","296,072","9,896"
平成29年,2017C.Y.,"562,729","367,467","195,262","152,334","51,485","100,849","68,382",          --,"68,382","342,013","315,982","26,031"
平成30年,2018C.Y.,"638,209","461,167","177,041","195,726","125,491","70,235","72,747",          --,"72,747","369,736","335,676","34,059"
令和元(平成31)年,2019C.Y.,"720,984","438,733","282,251","346,000","147,031","198,969","72,807",          --,"72,807","302,177","291,702","10,475"
令和2年,2020C.Y.,"674,594","513,682","160,912","271,771","181,070","90,701","56,328",          --,"56,328","346,495","332,612","13,884"
令和3年,2021C.Y.,"644,517","414,645","229,872","179,020","80,040","98,979","114,022",          --,"114,022","351,475","334,604","16,871"
令和4年,2022C.Y.,"726,160","494,950","231,211","135,033","56,323","78,711","126,964",          --,"126,964","464,164","438,627","25,536"
令和5年,2023C.Y.,"878,108","599,571","278,537","169,184","64,548","104,636","140,050",          --,"140,050","568,874","535,023","33,851"
令和6年,2024C.Y.,"936,893","622,494","314,399","213,837","58,726","155,112","132,544",          --,"132,544","590,512","563,768","26,744"
令和7年,2025C.Y.,"1,011,702","685,465","326,236","295,160","105,500","189,660","130,172",          --,"130,172","586,370","579,966","6,404"
