財務省　国際収支状況（対外・対内直接投資）,,,,,,,,,,,,,,,
Ⅰ.対外直接投資総括表,,,,,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,,,,,
6d-0-4 月次,,,,,,,,,,,,,,,
   （単位　億円）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Japan's Balance of Payments(Direct Investment Assets/Liabilities),,,,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,,,
Ⅰ.Summary of Direct Investment Assets,,,,,,,,,,,,,,,
   Not seasonally adjusted,,,,,,,,,,,,,,,
  (January 1996 - present),,,,,,,,,,,,,,,
6d-0-4 Monthly  figures,,,,,,,,,,,,,,,
  (100 million Yen) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,,,
,③ 令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,,,
,"③ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,
,,,,対外直接投資,,,,,,,,,,,
,,,,Direct Investment Assets,,,,,,,,,,,
,,,,,,,株式資本,,,収益の再投資,,,負債性資本,,
,,,,,,,Equity other than reinvestment of earnings,,,Reinvestment of earnings,,,Debt instruments,,
,,,,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット
,,,,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net
平成8年,1月,1996,Jan,          --,          --,"1,673",          --,          --,"1,919",          --,          --,512,          --,          --,-758
,2月,,Feb,          --,          --,"4,009",          --,          --,"2,119",          --,          --,579,          --,          --,"1,311"
,3月,,Mar,          --,          --,"2,293",          --,          --,"1,045",          --,          --,556,          --,          --,692
,4月,,Apr,          --,          --,"2,765",          --,          --,"2,210",          --,          --,378,          --,          --,177
,5月,,May,          --,          --,"2,598",          --,          --,"1,449",          --,          --,419,          --,          --,731
,6月,,Jun,          --,          --,"2,724",          --,          --,"2,230",          --,          --,438,          --,          --,56
,7月,,Jul,          --,          --,"2,680",          --,          --,"1,709",          --,          --,417,          --,          --,554
,8月,,Aug,          --,          --,"2,481",          --,          --,"2,143",          --,          --,388,          --,          --,-51
,9月,,Sep,          --,          --,"1,753",          --,          --,372,          --,          --,381,          --,          --,"1,001"
,10月,,Oct,          --,          --,"1,081",          --,          --,542,          --,          --,360,          --,          --,178
,11月,,Nov,          --,          --,"1,598",          --,          --,"2,051",          --,          --,346,          --,          --,-799
,12月,,Dec,          --,          --,"2,961",          --,          --,"2,516",          --,          --,182,          --,          --,262
平成9年,1月,1997,Jan,          --,          --,"2,529",          --,          --,"1,673",          --,          --,163,          --,          --,693
,2月,,Feb,          --,          --,"1,388",          --,          --,"1,505",          --,          --,189,          --,          --,-306
,3月,,Mar,          --,          --,"1,545",          --,          --,"3,722",          --,          --,299,          --,          --,"-2,475"
,4月,,Apr,          --,          --,"3,242",          --,          --,"2,480",          --,          --,374,          --,          --,388
,5月,,May,          --,          --,"2,085",          --,          --,"1,730",          --,          --,369,          --,          --,-15
,6月,,Jun,          --,          --,"3,348",          --,          --,"2,421",          --,          --,336,          --,          --,591
,7月,,Jul,          --,          --,"2,724",          --,          --,"2,294",          --,          --,326,          --,          --,105
,8月,,Aug,          --,          --,"2,530",          --,          --,"3,245",          --,          --,316,          --,          --,"-1,031"
,9月,,Sep,          --,          --,"2,732",          --,          --,"2,102",          --,          --,310,          --,          --,321
,10月,,Oct,          --,          --,"2,256",          --,          --,"1,885",          --,          --,318,          --,          --,53
,11月,,Nov,          --,          --,"1,839",          --,          --,"1,372",          --,          --,331,          --,          --,137
,12月,,Dec,          --,          --,"2,734",          --,          --,"1,663",          --,          --,314,          --,          --,758
平成10年,1月,1998,Jan,          --,          --,"2,235",          --,          --,"1,964",          --,          --,323,          --,          --,-52
,2月,,Feb,          --,          --,"2,507",          --,          --,"1,935",          --,          --,362,          --,          --,209
,3月,,Mar,          --,          --,"5,575",          --,          --,"3,074",          --,          --,360,          --,          --,"2,141"
,4月,,Apr,          --,          --,"2,559",          --,          --,"2,404",          --,          --,-454,          --,          --,610
,5月,,May,          --,          --,"1,877",          --,          --,"1,781",          --,          --,-464,          --,          --,560
,6月,,Jun,          --,          --,"2,102",          --,          --,"2,377",          --,          --,-453,          --,          --,178
,7月,,Jul,          --,          --,"2,590",          --,          --,"2,571",          --,          --,-471,          --,          --,490
,8月,,Aug,          --,          --,"1,482",          --,          --,"2,002",          --,          --,-399,          --,          --,-122
,9月,,Sep,          --,          --,"-3,044",          --,          --,"-3,313",          --,          --,-399,          --,          --,667
,10月,,Oct,          --,          --,"2,221",          --,          --,"1,422",          --,          --,-417,          --,          --,"1,215"
,11月,,Nov,          --,          --,939,          --,          --,725,          --,          --,-507,          --,          --,721
,12月,,Dec,          --,          --,"4,266",          --,          --,"3,003",          --,          --,-504,          --,          --,"1,768"
平成11年,1月,1999,Jan,          --,          --,"1,674",          --,          --,"1,630",          --,          --,-522,          --,          --,566
,2月,,Feb,          --,          --,736,          --,          --,"1,661",          --,          --,-517,          --,          --,-407
,3月,,Mar,          --,          --,"1,621",          --,          --,"1,506",          --,          --,-519,          --,          --,634
,4月,,Apr,          --,          --,"1,345",          --,          --,"1,565",          --,          --,479,          --,          --,-699
,5月,,May,          --,          --,"7,597",          --,          --,"6,951",          --,          --,474,          --,          --,172
,6月,,Jun,          --,          --,"2,180",          --,          --,"1,295",          --,          --,467,          --,          --,418
,7月,,Jul,          --,          --,"1,773",          --,          --,937,          --,          --,457,          --,          --,379
,8月,,Aug,          --,          --,"3,281",          --,          --,"2,284",          --,          --,432,          --,          --,566
,9月,,Sep,          --,          --,"1,168",          --,          --,737,          --,          --,437,          --,          --,-6
,10月,,Oct,          --,          --,"1,655",          --,          --,930,          --,          --,463,          --,          --,262
,11月,,Nov,          --,          --,"1,823",          --,          --,"1,554",          --,          --,467,          --,          --,-198
,12月,,Dec,          --,          --,"2,930",          --,          --,"1,705",          --,          --,453,          --,          --,772
平成12年,1月,2000,Jan,          --,          --,"1,858",          --,          --,"1,389",          --,          --,480,          --,          --,-11
,2月,,Feb,          --,          --,"2,146",          --,          --,"1,974",          --,          --,472,          --,          --,-300
,3月,,Mar,          --,          --,"4,561",          --,          --,"3,893",          --,          --,464,          --,          --,204
,4月,,Apr,          --,          --,"2,488",          --,          --,"1,162",          --,          --,"1,203",          --,          --,123
,5月,,May,          --,          --,"3,184",          --,          --,"1,710",          --,          --,"1,203",          --,          --,270
,6月,,Jun,          --,          --,"2,473",          --,          --,366,          --,          --,"1,197",          --,          --,910
,7月,,Jul,          --,          --,"7,032",          --,          --,"5,472",          --,          --,"1,185",          --,          --,375
,8月,,Aug,          --,          --,"2,454",          --,          --,"1,031",          --,          --,"1,187",          --,          --,236
,9月,,Sep,          --,          --,"12,886",          --,          --,"9,215",          --,          --,"1,187",          --,          --,"2,484"
,10月,,Oct,          --,          --,"3,429",          --,          --,"2,433",          --,          --,"1,166",          --,          --,-170
,11月,,Nov,          --,          --,"2,188",          --,          --,"1,119",          --,          --,"1,152",          --,          --,-83
,12月,,Dec,          --,          --,"3,818",          --,          --,"3,525",          --,          --,"1,182",          --,          --,-889
平成13年,1月,2001,Jan,          --,          --,"12,534",          --,          --,"11,534",          --,          --,"1,022",          --,          --,-22
,2月,,Feb,          --,          --,"2,483",          --,          --,"1,395",          --,          --,983,          --,          --,104
,3月,,Mar,          --,          --,"4,290",          --,          --,"2,391",          --,          --,979,          --,          --,921
,4月,,Apr,          --,          --,"2,689",          --,          --,"1,737",          --,          --,368,          --,          --,584
,5月,,May,          --,          --,"1,374",          --,          --,799,          --,          --,365,          --,          --,211
,6月,,Jun,          --,          --,-33,          --,          --,"-1,302",          --,          --,363,          --,          --,905
,7月,,Jul,          --,          --,"3,531",          --,          --,"3,008",          --,          --,360,          --,          --,163
,8月,,Aug,          --,          --,"1,690",          --,          --,756,          --,          --,359,          --,          --,576
,9月,,Sep,          --,          --,"3,661",          --,          --,"1,820",          --,          --,359,          --,          --,"1,483"
,10月,,Oct,          --,          --,"3,645",          --,          --,"3,181",          --,          --,361,          --,          --,103
,11月,,Nov,          --,          --,"3,032",          --,          --,"1,960",          --,          --,363,          --,          --,709
,12月,,Dec,          --,          --,"4,115",          --,          --,"4,392",          --,          --,357,          --,          --,-634
平成14年,1月,2002,Jan,          --,          --,"6,490",          --,          --,"5,696",          --,          --,535,          --,          --,260
,2月,,Feb,          --,          --,"3,780",          --,          --,"3,933",          --,          --,589,          --,          --,-742
,3月,,Mar,          --,          --,"3,256",          --,          --,"2,771",          --,          --,597,          --,          --,-112
,4月,,Apr,          --,          --,"3,274",          --,          --,"1,643",          --,          --,437,          --,          --,"1,195"
,5月,,May,          --,          --,"2,277",          --,          --,"1,970",          --,          --,437,          --,          --,-130
,6月,,Jun,          --,          --,"2,366",          --,          --,"1,119",          --,          --,446,          --,          --,802
,7月,,Jul,          --,          --,"1,986",          --,          --,"1,354",          --,          --,456,          --,          --,175
,8月,,Aug,          --,          --,"2,016",          --,          --,"1,987",          --,          --,457,          --,          --,-428
,9月,,Sep,          --,          --,"2,845",          --,          --,"1,608",          --,          --,456,          --,          --,780
,10月,,Oct,          --,          --,"2,178",          --,          --,"1,150",          --,          --,462,          --,          --,566
,11月,,Nov,          --,          --,"3,634",          --,          --,"2,566",          --,          --,458,          --,          --,610
,12月,,Dec,          --,          --,"4,893",          --,          --,"4,103",          --,          --,458,          --,          --,332
平成15年,1月,2003,Jan,          --,          --,"2,163",          --,          --,"1,173",          --,          --,576,          --,          --,415
,2月,,Feb,          --,          --,"1,410",          --,          --,858,          --,          --,568,          --,          --,-16
,3月,,Mar,          --,          --,"5,178",          --,          --,"4,244",          --,          --,569,          --,          --,365
,4月,,Apr,          --,          --,"2,832",          --,          --,"1,615",          --,          --,613,          --,          --,603
,5月,,May,          --,          --,"2,206",          --,          --,948,          --,          --,613,          --,          --,645
,6月,,Jun,          --,          --,"3,960",          --,          --,"2,028",          --,          --,611,          --,          --,"1,321"
,7月,,Jul,          --,          --,"6,653",          --,          --,"5,640",          --,          --,608,          --,          --,405
,8月,,Aug,          --,          --,"1,660",          --,          --,897,          --,          --,"1,041",          --,          --,-278
,9月,,Sep,          --,          --,"4,591",          --,          --,"1,811",          --,          --,"1,040",          --,          --,"1,740"
,10月,,Oct,          --,          --,"2,501",          --,          --,996,          --,          --,"1,047",          --,          --,458
,11月,,Nov,          --,          --,"2,487",          --,          --,"1,134",          --,          --,"1,059",          --,          --,295
,12月,,Dec,          --,          --,"4,297",          --,          --,"2,807",          --,          --,"1,062",          --,          --,428
平成16年,1月,2004,Jan,          --,          --,"1,363",          --,          --,497,          --,          --,"1,123",          --,          --,-257
,2月,,Feb,          --,          --,"2,342",          --,          --,998,          --,          --,"1,129",          --,          --,216
,3月,,Mar,          --,          --,"3,597",          --,          --,"2,389",          --,          --,"1,131",          --,          --,76
,4月,,Apr,          --,          --,"5,460",          --,          --,"3,009",          --,          --,"1,503",          --,          --,949
,5月,,May,          --,          --,"3,099",          --,          --,"1,098",          --,          --,"1,503",          --,          --,498
,6月,,Jun,          --,          --,"4,417",          --,          --,"1,896",          --,          --,"1,503",          --,          --,"1,018"
,7月,,Jul,          --,          --,"4,706",          --,          --,"2,041",          --,          --,"1,502",          --,          --,"1,163"
,8月,,Aug,          --,          --,"3,543",          --,          --,"1,837",          --,          --,"1,501",          --,          --,205
,9月,,Sep,          --,          --,"3,853",          --,          --,"2,774",          --,          --,"1,501",          --,          --,-422
,10月,,Oct,          --,          --,"2,330",          --,          --,779,          --,          --,"1,502",          --,          --,49
,11月,,Nov,          --,          --,"3,486",          --,          --,"1,721",          --,          --,"1,509",          --,          --,256
,12月,,Dec,          --,          --,"5,797",          --,          --,"3,646",          --,          --,"1,507",          --,          --,645
