財務省　国際収支状況（対外・対内直接投資）,,,,,,,,,,,,,,,
Ⅱ.対内直接投資総括表,,,,,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,,,,,
6d-1-4 月次,,,,,,,,,,,,,,,
   （単位　億円）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Japan's Balance of Payments(Direct Investment Assets/Liabilities),,,,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,,,
Ⅱ.Summary of Direct Investment Liabilities,,,,,,,,,,,,,,,
   Not seasonally adjusted,,,,,,,,,,,,,,,
  (January 1996 - present),,,,,,,,,,,,,,,
6d-1-4 Monthly  figures,,,,,,,,,,,,,,,
  (100 million Yen) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,,,
,③ 令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,,,
,"③ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,
,,,,対内直接投資,,,,,,,,,,,
,,,,Direct Investment Liabilities,,,,,,,,,,,
,,,,,,,株式資本,,,収益の再投資,,,負債性資本,,
,,,,,,,Equity other than reinvestment of earnings,,,Reinvestment of earnings,,,Debt instruments,,
,,,,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット,実行,回収,ネット
,,,,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net,Execution,Withdrawal,Net
平成8年,1月,1996,Jan,          --,          --,-78,          --,          --,-48,          --,          --,-28,          --,          --,-1
,2月,,Feb,          --,          --,140,          --,          --,62,          --,          --,-24,          --,          --,102
,3月,,Mar,          --,          --,75,          --,          --,-25,          --,          --,-28,          --,          --,129
,4月,,Apr,          --,          --,"-2,034",          --,          --,"-1,764",          --,          --,-27,          --,          --,-242
,5月,,May,          --,          --,706,          --,          --,583,          --,          --,-41,          --,          --,164
,6月,,Jun,          --,          --,274,          --,          --,158,          --,          --,-50,          --,          --,166
,7月,,Jul,          --,          --,271,          --,          --,212,          --,          --,-40,          --,          --,98
,8月,,Aug,          --,          --,161,          --,          --,69,          --,          --,14,          --,          --,78
,9月,,Sep,          --,          --,416,          --,          --,159,          --,          --,10,          --,          --,247
,10月,,Oct,          --,          --,73,          --,          --,103,          --,          --,3,          --,          --,-32
,11月,,Nov,          --,          --,-277,          --,          --,-296,          --,          --,21,          --,          --,-3
,12月,,Dec,          --,          --,243,          --,          --,29,          --,          --,27,          --,          --,187
平成9年,1月,1997,Jan,          --,          --,-36,          --,          --,1,          --,          --,-34,          --,          --,-3
,2月,,Feb,          --,          --,328,          --,          --,26,          --,          --,-43,          --,          --,345
,3月,,Mar,          --,          --,297,          --,          --,249,          --,          --,-27,          --,          --,75
,4月,,Apr,          --,          --,186,          --,          --,484,          --,          --,-56,          --,          --,-242
,5月,,May,          --,          --,-140,          --,          --,32,          --,          --,-56,          --,          --,-116
,6月,,Jun,          --,          --,165,          --,          --,-128,          --,          --,-50,          --,          --,343
,7月,,Jul,          --,          --,247,          --,          --,283,          --,          --,-60,          --,          --,24
,8月,,Aug,          --,          --,434,          --,          --,431,          --,          --,-51,          --,          --,54
,9月,,Sep,          --,          --,-27,          --,          --,144,          --,          --,-54,          --,          --,-117
,10月,,Oct,          --,          --,239,          --,          --,198,          --,          --,-57,          --,          --,97
,11月,,Nov,          --,          --,693,          --,          --,354,          --,          --,-71,          --,          --,409
,12月,,Dec,          --,          --,659,          --,          --,334,          --,          --,-69,          --,          --,393
平成10年,1月,1998,Jan,          --,          --,109,          --,          --,46,          --,          --,-90,          --,          --,153
,2月,,Feb,          --,          --,410,          --,          --,156,          --,          --,-108,          --,          --,362
,3月,,Mar,          --,          --,796,          --,          --,551,          --,          --,-115,          --,          --,360
,4月,,Apr,          --,          --,358,          --,          --,188,          --,          --,-143,          --,          --,313
,5月,,May,          --,          --,-140,          --,          --,-72,          --,          --,-149,          --,          --,81
,6月,,Jun,          --,          --,385,          --,          --,95,          --,          --,-144,          --,          --,434
,7月,,Jul,          --,          --,54,          --,          --,98,          --,          --,-156,          --,          --,112
,8月,,Aug,          --,          --,-88,          --,          --,134,          --,          --,-167,          --,          --,-55
,9月,,Sep,          --,          --,58,          --,          --,420,          --,          --,-168,          --,          --,-193
,10月,,Oct,          --,          --,451,          --,          --,711,          --,          --,-169,          --,          --,-91
,11月,,Nov,          --,          --,610,          --,          --,738,          --,          --,-146,          --,          --,18
,12月,,Dec,          --,          --,165,          --,          --,133,          --,          --,-134,          --,          --,167
平成11年,1月,1999,Jan,          --,          --,327,          --,          --,95,          --,          --,54,          --,          --,177
,2月,,Feb,          --,          --,553,          --,          --,753,          --,          --,72,          --,          --,-271
,3月,,Mar,          --,          --,"1,386",          --,          --,"1,865",          --,          --,75,          --,          --,-554
,4月,,Apr,          --,          --,412,          --,          --,327,          --,          --,116,          --,          --,-32
,5月,,May,          --,          --,"8,486",          --,          --,"6,098",          --,          --,118,          --,          --,"2,270"
,6月,,Jun,          --,          --,437,          --,          --,566,          --,          --,118,          --,          --,-247
,7月,,Jul,          --,          --,717,          --,          --,434,          --,          --,132,          --,          --,151
,8月,,Aug,          --,          --,"1,746",          --,          --,"1,743",          --,          --,132,          --,          --,-129
,9月,,Sep,          --,          --,395,          --,          --,-538,          --,          --,140,          --,          --,793
,10月,,Oct,          --,          --,781,          --,          --,440,          --,          --,136,          --,          --,205
,11月,,Nov,          --,          --,774,          --,          --,333,          --,          --,137,          --,          --,305
,12月,,Dec,          --,          --,"1,165",          --,          --,"1,168",          --,          --,128,          --,          --,-132
平成12年,1月,2000,Jan,          --,          --,-110,          --,          --,1,          --,          --,187,          --,          --,-298
,2月,,Feb,          --,          --,"1,739",          --,          --,"1,091",          --,          --,187,          --,          --,461
,3月,,Mar,          --,          --,"6,677",          --,          --,"6,415",          --,          --,186,          --,          --,75
,4月,,Apr,          --,          --,"-4,726",          --,          --,"-4,941",          --,          --,159,          --,          --,56
,5月,,May,          --,          --,-351,          --,          --,"-2,006",          --,          --,158,          --,          --,"1,497"
,6月,,Jun,          --,          --,"-2,031",          --,          --,"-2,190",          --,          --,160,          --,          --,-1
,7月,,Jul,          --,          --,"4,636",          --,          --,"3,778",          --,          --,169,          --,          --,688
,8月,,Aug,          --,          --,404,          --,          --,191,          --,          --,169,          --,          --,44
,9月,,Sep,          --,          --,809,          --,          --,"1,889",          --,          --,164,          --,          --,"-1,244"
,10月,,Oct,          --,          --,"2,760",          --,          --,"2,403",          --,          --,190,          --,          --,167
,11月,,Nov,          --,          --,"1,126",          --,          --,"1,058",          --,          --,139,          --,          --,-71
,12月,,Dec,          --,          --,684,          --,          --,698,          --,          --,153,          --,          --,-168
平成13年,1月,2001,Jan,          --,          --,"1,008",          --,          --,928,          --,          --,187,          --,          --,-107
,2月,,Feb,          --,          --,"1,307",          --,          --,"1,033",          --,          --,187,          --,          --,87
,3月,,Mar,          --,          --,-627,          --,          --,"-1,182",          --,          --,180,          --,          --,375
,4月,,Apr,          --,          --,-397,          --,          --,-370,          --,          --,137,          --,          --,-163
,5月,,May,          --,          --,83,          --,          --,193,          --,          --,137,          --,          --,-246
,6月,,Jun,          --,          --,962,          --,          --,722,          --,          --,136,          --,          --,104
,7月,,Jul,          --,          --,845,          --,          --,595,          --,          --,108,          --,          --,142
,8月,,Aug,          --,          --,"-1,187",          --,          --,"-1,390",          --,          --,119,          --,          --,83
,9月,,Sep,          --,          --,67,          --,          --,527,          --,          --,120,          --,          --,-581
,10月,,Oct,          --,          --,"3,399",          --,          --,"2,961",          --,          --,116,          --,          --,322
,11月,,Nov,          --,          --,91,          --,          --,-177,          --,          --,126,          --,          --,142
,12月,,Dec,          --,          --,459,          --,          --,625,          --,          --,110,          --,          --,-276
平成14年,1月,2002,Jan,          --,          --,"1,468",          --,          --,668,          --,          --,114,          --,          --,686
,2月,,Feb,          --,          --,"1,076",          --,          --,265,          --,          --,114,          --,          --,696
,3月,,Mar,          --,          --,"4,181",          --,          --,"3,735",          --,          --,96,          --,          --,351
,4月,,Apr,          --,          --,"2,819",          --,          --,"-17,137",          --,          --,176,          --,          --,"19,780"
,5月,,May,          --,          --,-166,          --,          --,478,          --,          --,176,          --,          --,-819
,6月,,Jun,          --,          --,127,          --,          --,490,          --,          --,172,          --,          --,-535
,7月,,Jul,          --,          --,"1,013",          --,          --,187,          --,          --,188,          --,          --,638
,8月,,Aug,          --,          --,530,          --,          --,316,          --,          --,180,          --,          --,34
,9月,,Sep,          --,          --,"2,086",          --,          --,"1,357",          --,          --,179,          --,          --,549
,10月,,Oct,          --,          --,722,          --,          --,650,          --,          --,179,          --,          --,-107
,11月,,Nov,          --,          --,"2,130",          --,          --,"2,069",          --,          --,181,          --,          --,-120
,12月,,Dec,          --,          --,"-1,320",          --,          --,-274,          --,          --,169,          --,          --,"-1,214"
平成15年,1月,2003,Jan,          --,          --,"3,778",          --,          --,"3,546",          --,          --,152,          --,          --,79
,2月,,Feb,          --,          --,316,          --,          --,9,          --,          --,152,          --,          --,155
,3月,,Mar,          --,          --,976,          --,          --,553,          --,          --,169,          --,          --,254
,4月,,Apr,          --,          --,"1,535",          --,          --,733,          --,          --,187,          --,          --,615
,5月,,May,          --,          --,294,          --,          --,92,          --,          --,187,          --,          --,15
,6月,,Jun,          --,          --,-154,          --,          --,393,          --,          --,187,          --,          --,-734
,7月,,Jul,          --,          --,239,          --,          --,111,          --,          --,182,          --,          --,-54
,8月,,Aug,          --,          --,495,          --,          --,292,          --,          --,190,          --,          --,13
,9月,,Sep,          --,          --,"1,779",          --,          --,"1,573",          --,          --,189,          --,          --,17
,10月,,Oct,          --,          --,90,          --,          --,368,          --,          --,176,          --,          --,-454
,11月,,Nov,          --,          --,-30,          --,          --,22,          --,          --,185,          --,          --,-236
,12月,,Dec,          --,          --,977,          --,          --,"1,076",          --,          --,197,          --,          --,-296
平成16年,1月,2004,Jan,          --,          --,-146,          --,          --,-59,          --,          --,95,          --,          --,-182
,2月,,Feb,          --,          --,"-1,160",          --,          --,-931,          --,          --,94,          --,          --,-323
,3月,,Mar,          --,          --,"3,047",          --,          --,"2,961",          --,          --,94,          --,          --,-8
,4月,,Apr,          --,          --,780,          --,          --,658,          --,          --,160,          --,          --,-38
,5月,,May,          --,          --,903,          --,          --,-122,          --,          --,160,          --,          --,865
,6月,,Jun,          --,          --,"2,841",          --,          --,"2,841",          --,          --,161,          --,          --,-161
,7月,,Jul,          --,          --,"1,628",          --,          --,"1,487",          --,          --,161,          --,          --,-20
,8月,,Aug,          --,          --,-43,          --,          --,281,          --,          --,156,          --,          --,-480
,9月,,Sep,          --,          --,-92,          --,          --,-803,          --,          --,159,          --,          --,552
,10月,,Oct,          --,          --,444,          --,          --,753,          --,          --,185,          --,          --,-493
,11月,,Nov,          --,          --,"-1,014",          --,          --,-263,          --,          --,175,          --,          --,-925
,12月,,Dec,          --,          --,"1,018",          --,          --,813,          --,          --,210,          --,          --,-4
平成17年,1月,2005,Jan,          --,          --,395,          --,          --,829,          --,          --,200,          --,          --,-634
,2月,,Feb,          --,          --,521,          --,          --,256,          --,          --,199,          --,          --,66
,3月,,Mar,          --,          --,"3,834",          --,          --,"3,384",          --,          --,200,          --,          --,250
,4月,,Apr,          --,          --,385,          --,          --,-67,          --,          --,286,          --,          --,165
,5月,,May,          --,          --,649,          --,          --,255,          --,          --,286,          --,          --,107
,6月,,Jun,          --,          --,530,          --,          --,42,          --,          --,283,          --,          --,205
,7月,,Jul,          --,          --,"1,470",          --,          --,964,          --,          --,281,          --,          --,225
,8月,,Aug,          --,          --,721,          --,          --,270,          --,          --,284,          --,          --,166
,9月,,Sep,          --,          --,"1,322",          --,          --,939,          --,          --,282,          --,          --,100
,10月,,Oct,          --,          --,"-2,382",          --,          --,"-2,971",          --,          --,275,          --,          --,315
,11月,,Nov,          --,          --,-425,          --,          --,"-1,067",          --,          --,278,          --,          --,365
,12月,,Dec,          --,          --,"-1,518",          --,          --,927,          --,          --,274,          --,          --,"-2,719"
平成18年,1月,2006,Jan,          --,          --,916,          --,          --,128,          --,          --,496,          --,          --,291
,2月,,Feb,          --,          --,"1,169",          --,          --,448,          --,          --,495,          --,          --,225
,3月,,Mar,          --,          --,"3,668",          --,          --,"3,741",          --,          --,495,          --,          --,-567
,4月,,Apr,          --,          --,"-16,961",          --,          --,"-18,561",          --,          --,403,          --,          --,"1,198"
,5月,,May,          --,          --,521,          --,          --,-163,          --,          --,403,          --,          --,282
,6月,,Jun,          --,          --,898,          --,          --,37,          --,          --,407,          --,          --,455
,7月,,Jul,          --,          --,"1,538",          --,          --,894,          --,          --,420,          --,          --,225
,8月,,Aug,          --,          --,"1,917",          --,          --,"1,182",          --,          --,423,          --,          --,311
,9月,,Sep,          --,          --,"1,974",          --,          --,"1,242",          --,          --,424,          --,          --,309
,10月,,Oct,          --,          --,-15,          --,          --,-400,          --,          --,417,          --,          --,-33
,11月,,Nov,          --,          --,719,          --,          --,278,          --,          --,424,          --,          --,17
,12月,,Dec,          --,          --,"1,169",          --,          --,"1,135",          --,          --,403,          --,          --,-368
平成19年,1月,2007,Jan,          --,          --,"3,242",          --,          --,"2,949",          --,          --,250,          --,          --,43
,2月,,Feb,          --,          --,"4,460",          --,          --,"4,100",          --,          --,252,          --,          --,108
,3月,,Mar,          --,          --,"2,285",          --,          --,714,          --,          --,251,          --,          --,"1,320"
,4月,,Apr,          --,          --,-879,          --,          --,-200,          --,          --,255,          --,          --,-935
,5月,,May,          --,          --,"8,737",          --,          --,"8,319",          --,          --,255,          --,          --,163
,6月,,Jun,          --,          --,"4,300",          --,          --,"4,111",          --,          --,268,          --,          --,-79
,7月,,Jul,          --,          --,"1,578",          --,          --,354,          --,          --,264,          --,          --,961
,8月,,Aug,          --,          --,788,          --,          --,"-9,846",          --,          --,257,          --,          --,"10,377"
,9月,,Sep,          --,          --,"2,240",          --,          --,"1,629",          --,          --,260,          --,          --,351
,10月,,Oct,          --,          --,"1,053",          --,          --,828,          --,          --,260,          --,          --,-35
,11月,,Nov,          --,          --,"-1,000",          --,          --,-517,          --,          --,248,          --,          --,-730
,12月,,Dec,          --,          --,-857,          --,          --,345,          --,          --,194,          --,          --,"-1,396"
平成20年,1月,2008,Jan,          --,          --,"6,810",          --,          --,"6,247",          --,          --,230,          --,          --,333
,2月,,Feb,          --,          --,"2,029",          --,          --,"1,539",          --,          --,224,          --,          --,266
,3月,,Mar,          --,          --,"2,488",          --,          --,"2,320",          --,          --,224,          --,          --,-56
,4月,,Apr,          --,          --,527,          --,          --,"5,595",          --,          --,-175,          --,          --,"-4,893"
,5月,,May,          --,          --,"1,188",          --,          --,788,          --,          --,-177,          --,          --,577
,6月,,Jun,          --,          --,"3,968",          --,          --,"1,279",          --,          --,-187,          --,          --,"2,876"
,7月,,Jul,          --,          --,-986,          --,          --,-193,          --,          --,-191,          --,          --,-602
,8月,,Aug,          --,          --,"1,148",          --,          --,306,          --,          --,-190,          --,          --,"1,032"
,9月,,Sep,          --,          --,"1,714",          --,          --,"1,213",          --,          --,-193,          --,          --,693
,10月,,Oct,          --,          --,-586,          --,          --,-286,          --,          --,-198,          --,          --,-102
,11月,,Nov,          --,          --,704,          --,          --,946,          --,          --,-206,          --,          --,-36
,12月,,Dec,          --,          --,"6,300",          --,          --,"5,781",          --,          --,-150,          --,          --,669
平成21年,1月,2009,Jan,          --,          --,390,          --,          --,331,          --,          --,-468,          --,          --,527
,2月,,Feb,          --,          --,-499,          --,          --,17,          --,          --,-460,          --,          --,-56
,3月,,Mar,          --,          --,"3,477",          --,          --,"3,074",          --,          --,-460,          --,          --,864
,4月,,Apr,          --,          --,313,          --,          --,146,          --,          --,-64,          --,          --,230
,5月,,May,          --,          --,837,          --,          --,827,          --,          --,-62,          --,          --,72
,6月,,Jun,          --,          --,935,          --,          --,659,          --,          --,-65,          --,          --,341
,7月,,Jul,          --,          --,"2,714",          --,          --,"2,921",          --,          --,-60,          --,          --,-147
,8月,,Aug,          --,          --,322,          --,          --,174,          --,          --,-59,          --,          --,207
,9月,,Sep,          --,          --,"1,851",          --,          --,"1,040",          --,          --,-58,          --,          --,868
,10月,,Oct,          --,          --,-337,          --,          --,89,          --,          --,-55,          --,          --,-371
,11月,,Nov,          --,          --,85,          --,          --,108,          --,          --,-50,          --,          --,26
,12月,,Dec,          --,          --,"1,390",          --,          --,681,          --,          --,-69,          --,          --,779
平成22年,1月,2010,Jan,          --,          --,"5,329",          --,          --,"9,399",          --,          --,271,          --,          --,"-4,340"
,2月,,Feb,          --,          --,"-5,885",          --,          --,"-6,579",          --,          --,279,          --,          --,416
,3月,,Mar,          --,          --,"3,669",          --,          --,"1,706",          --,          --,281,          --,          --,"1,682"
,4月,,Apr,          --,          --,"1,619",          --,          --,"1,551",          --,          --,260,          --,          --,-192
,5月,,May,          --,          --,"-1,623",          --,          --,"-1,619",          --,          --,256,          --,          --,-260
,6月,,Jun,          --,          --,"1,288",          --,          --,384,          --,          --,251,          --,          --,653
,7月,,Jul,          --,          --,"3,883",          --,          --,"3,993",          --,          --,248,          --,          --,-358
,8月,,Aug,          --,          --,"-2,081",          --,          --,"-2,866",          --,          --,235,          --,          --,550
,9月,,Sep,          --,          --,354,          --,          --,250,          --,          --,234,          --,          --,-130
,10月,,Oct,          --,          --,"1,741",          --,          --,"2,434",          --,          --,229,          --,          --,-922
,11月,,Nov,          --,          --,-167,          --,          --,-134,          --,          --,242,          --,          --,-275
,12月,,Dec,          --,          --,"-1,491",          --,          --,"-1,702",          --,          --,243,          --,          --,-32
平成23年,1月,2011,Jan,          --,          --,984,          --,          --,"1,000",          --,          --,128,          --,          --,-145
,2月,,Feb,          --,          --,"-2,922",          --,          --,"-2,721",          --,          --,100,          --,          --,-301
,3月,,Mar,          --,          --,368,          --,          --,-755,          --,          --,97,          --,          --,"1,026"
,4月,,Apr,          --,          --,751,          --,          --,"1,142",          --,          --,45,          --,          --,-436
,5月,,May,          --,          --,208,          --,          --,91,          --,          --,48,          --,          --,69
,6月,,Jun,          --,          --,198,          --,          --,-750,          --,          --,62,          --,          --,886
,7月,,Jul,          --,          --,-207,          --,          --,-212,          --,          --,58,          --,          --,-53
,8月,,Aug,          --,          --,-35,          --,          --,-106,          --,          --,70,          --,          --,1
,9月,,Sep,          --,          --,-125,          --,          --,142,          --,          --,74,          --,          --,-341
,10月,,Oct,          --,          --,"-1,557",          --,          --,"-1,439",          --,          --,72,          --,          --,-190
,11月,,Nov,          --,          --,"1,148",          --,          --,"1,307",          --,          --,45,          --,          --,-203
,12月,,Dec,          --,          --,496,          --,          --,-481,          --,          --,63,          --,          --,914
平成24年,1月,2012,Jan,          --,          --,"-1,310",          --,          --,-957,          --,          --,-20,          --,          --,-333
,2月,,Feb,          --,          --,682,          --,          --,696,          --,          --,0,          --,          --,-13
,3月,,Mar,          --,          --,865,          --,          --,489,          --,          --,-9,          --,          --,386
,4月,,Apr,          --,          --,-440,          --,          --,74,          --,          --,27,          --,          --,-540
,5月,,May,          --,          --,"-1,032",          --,          --,-887,          --,          --,26,          --,          --,-171
,6月,,Jun,          --,          --,"-2,111",          --,          --,"-2,560",          --,          --,22,          --,          --,428
,7月,,Jul,          --,          --,925,          --,          --,"1,423",          --,          --,32,          --,          --,-530
,8月,,Aug,          --,          --,619,          --,          --,472,          --,          --,32,          --,          --,114
,9月,,Sep,          --,          --,761,          --,          --,52,          --,          --,35,          --,          --,673
,10月,,Oct,          --,          --,"-1,018",          --,          --,-552,          --,          --,-9,          --,          --,-457
,11月,,Nov,          --,          --,92,          --,          --,153,          --,          --,14,          --,          --,-76
,12月,,Dec,          --,          --,"2,373",          --,          --,"2,311",          --,          --,-6,          --,          --,68
平成25年,1月,2013,Jan,          --,          --,200,          --,          --,143,          --,          --,130,          --,          --,-72
,2月,,Feb,          --,          --,-466,          --,          --,270,          --,          --,123,          --,          --,-859
,3月,,Mar,          --,          --,"1,172",          --,          --,"1,039",          --,          --,136,          --,          --,-2
