財務省　国際収支状況　（付表３　対外・対内　証券投資）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ⅰ．対外・対内証券投資の総括表,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pi-1　対外・対内証券投資総括表,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　億円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan's Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio Investment Assets/Liabilities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.Summary of Portfolio Investment Assets/Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pi-1  Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(100 million Yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,③ 令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"③ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．対外証券投資総括表（居住者による非居住者発行証券への投資）,,,,,,,,,,,,,,,２．対内証券投資総括表（非居住者による居住者発行証券への投資）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.Portfolio Investment Assets,,,,,,,,,,,,,,,2.Portfolio Investment Liabilities,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計,,,,,,株式・投資ファンド持分,,,中長期債,,,短期債,,,合計
