ç‡ñ±è»Å@çëç€é˚éxèÛãµ,,,,,,,,,,,,,,,,,,,
áT.çëç€é˚éxëçäáï\,,,,,,,,,,,,,,,,,,,
   (ÉfÅ[É^ä˙ä‘ÅFïΩê¨8îNÅ`Åj,,,,,,,,,,,,,,,,,,,
6s-1-3 élîºä˙,,,,,,,,,,,,,,,,,,,
  ÅiíPà Å@â≠â~Åj,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Japan's Balance of Payments ,,,,,,,,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,,,,,,,
áT. Summary of balance of payments,,,,,,,,,,,,,,,,,,,
Å@Å@Not seasonally adjusted,,,,,,,,,,,,,,,,,,,
   (1st quarter 1996 - present),,,,,,,,,,,,,,,,,,,
6s-1-3 Quarterly figures,,,,,,,,,,,,,,,,,,,
  Åi100Å@million Yen),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ÅiîıçlÅj  Å@ á@ÅiP)ÇÕë¨ïÒílÇé¶Ç∑ÅBÇ‹ÇΩÅAçáåvÇÕéléÃå‹ì¸Ç…ÇÊÇËçáÇÌÇ»Ç¢Ç±Ç∆Ç™Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,
Å@ Å@Å@Å@Å@ Å@áA ã‡óZé˚éxÇÃÉvÉâÉXÅiÅ{ÅjÇÕèÉéëéYÇÃëùâ¡ÅAÉ}ÉCÉiÉXÅiÅ|ÅjÇÕèÉéëéYÇÃå∏è≠Çé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,
Å@ Å@Å@Å@Å@ Å@áB ïΩê¨25îNà»ëOÇÃåvêîÇÕÅAçëç€é˚éxÉ}ÉjÉÖÉAÉãëÊ5î≈èÄãíìùåvÇëÊ6î≈ÇÃäÓèÄÇ…ÇÊÇËëgÇ›ë÷Ç¶ÇΩÇ‡ÇÃÅB,,,,,,,,,,,,,,,,,,,
Å@ Å@Å@Å@Å@ Å@áC óﬂòa8îN4åé8ì˙ïtÇ≈ÅAóﬂòa5îN1åéÇ©ÇÁóﬂòa7îN9åéÇ‹Ç≈ÇÃåvêîÇ…Ç¬Ç¢ÇƒàÍïîâ¸í˘ÇçsÇ¡ÇƒÇ¢ÇÈÅB,,,,,,,,,,,,,,,,,,,
ÅiNOTES)  á@ (P) shows preliminary figures. Totals may not add due to rounding.,,,,,,,,,,,,,,,,,,,
