財務省　国際収支状況,,,,,,,,,,,,,,,,,,,
Ⅰ.国際収支総括表,,,,,,,,,,,,,,,,,,,
   (データ期間：平成8年～）,,,,,,,,,,,,,,,,,,,
6s-1-4 月次,,,,,,,,,,,,,,,,,,,
  （単位　億円）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Japan's Balance of Payments ,,,,,,,,,,,,,,,,,,,
Historical Data,,,,,,,,,,,,,,,,,,,
Ⅰ. Summary of balance of payments,,,,,,,,,,,,,,,,,,,
　　Not seasonally adjusted,,,,,,,,,,,,,,,,,,,
   (January 1996 - present),,,,,,,,,,,,,,,,,,,
6s-1-4 Monthly figures,,,,,,,,,,,,,,,,,,,
  （100　million Yen),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
（備考）  　 ①（P)は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,,,,,,,,,,
　 　　　　 　② 金融収支のプラス（＋）は純資産の増加、マイナス（－）は純資産の減少を示す。,,,,,,,,,,,,,,,,,,,
　 　　　　 　③ 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,,,,,,,,,,
　 　　　　 　④ 令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,,,,,,,,,,
（NOTES)  ① (P) shows preliminary figures. Totals may not add due to rounding.,,,,,,,,,,,,,,,,,,,
"　　 　 　　　② Positive figures (+) show increase in net assets, negative figures (-) show decrease in net assets in ""Financial account"". ",,,,,,,,,,,,,,,,,,,
"　　 　 　　　③ Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,,,,,,,,,,
"　 　　　　 　④ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
,,,,,,貿易収支,,,サービス収支,,,,,,,,,,
,,,,,,Goods,輸出,輸入,Services,,,,,,,,,,
,,,,,,,Exports,Imports,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
平成8年,1月,1996,Jan,342,"-3,099","2,647","29,260","26,613","-5,746","4,133",-692,-323,"-3,784","1,751","4,092",-317,"-10,422","1,112","-3,803"
,2月,,Feb,"8,609","3,814","8,521","35,089","26,568","-4,707","5,891","-1,096",-173,"5,603","3,869","13,162",672,"-29,782","17,682","-2,834"
,3月,,Mar,"13,154","8,433","13,175","39,813","26,638","-4,742","6,018","-1,297","-1,184","10,618","2,218","1,828",865,"1,301","4,406","-1,352"
,4月,,Apr,"6,176",-325,"5,276","35,076","29,799","-5,601","7,174",-674,-507,-884,"4,799","-24,643",373,"15,760","2,827","-6,553"
,5月,,May,"4,080","-1,041","4,061","32,685","28,625","-5,102","5,903",-782,89,"8,152","1,892","4,194",149,-833,"2,749","3,983"
,6月,,Jun,"6,361","3,432","9,006","35,080","26,073","-5,574","3,608",-679,-223,"8,781","2,450","-11,119",75,"15,402","1,973","2,643"
,7月,,Jul,"5,450",909,"6,821","36,608","29,787","-5,912","5,276",-735,-314,"6,061","2,409","1,349",358,733,"1,211",925
,8月,,Aug,"4,778",50,"5,445","33,142","27,697","-5,395","5,462",-734,-266,"3,803","2,320","10,048",979,"-11,690","2,147",-709
,9月,,Sep,"7,049","3,452","9,950","37,253","27,302","-6,498","4,279",-683,-225,"4,872","1,337","26,179",340,"-24,931","1,947","-1,952"
,10月,,Oct,"3,758",-107,"6,795","38,056","31,261","-6,902","4,597",-732,-271,"8,965","1,008",-788,966,"6,699","1,081","5,477"
,11月,,Nov,"7,146","3,059","8,470","38,024","29,554","-5,411","4,804",-717,-189,"11,635","1,876","14,733","1,935","-8,191","1,282","4,677"
,12月,,Dec,"8,041","4,597","10,177","40,067","29,890","-5,581","4,398",-954,48,"8,902","2,718","-1,951","1,617","5,512","1,007",814
平成9年,1月,1997,Jan,"1,307","-2,941","2,464","34,336","31,872","-5,405","5,102",-855,-355,"8,938","2,565","9,712",796,"-5,314","1,180","7,987"
,2月,,Feb,"8,950","3,384","8,703","38,501","29,797","-5,319","6,593","-1,027",-719,"8,182","1,060","5,203",818,"-1,159","2,258",-49
,3月,,Mar,"10,613","4,739","10,432","43,690","33,258","-5,693","7,849","-1,975","-1,216","21,138","1,248","24,585","1,126","-6,922","1,101","11,741"
,4月,,Apr,"10,847","3,956","10,107","42,600","32,493","-6,151","7,618",-727,-415,"11,232","3,056","-10,325",525,"16,271","1,705",800
,5月,,May,"8,894","3,828","9,139","39,263","30,125","-5,311","5,898",-831,-134,"9,868","2,224",-320,-897,"7,266","1,596","1,108"
,6月,,Jun,"9,801","6,119","10,746","39,404","28,658","-4,627","4,529",-848,-231,"6,651","3,183","6,399",527,"-4,633","1,176","-2,919"
,7月,,Jul,"8,822","4,632","10,458","40,915","30,457","-5,826","4,769",-579,-426,"11,512","2,477","-13,049",-129,"20,784","1,428","3,117"
,8月,,Aug,"8,074","3,071","9,247","37,641","28,394","-6,176","5,623",-620,-217,"5,674","2,097","9,690",117,"-7,730","1,500","-2,183"
,9月,,Sep,"11,437","7,062","12,877","42,546","29,669","-5,815","4,929",-554,-645,"22,599","2,760","4,279","1,058","13,093","1,409","11,807"
,10月,,Oct,"10,830","6,408","12,969","44,485","31,516","-6,561","5,462","-1,040",-189,"12,108","2,017","10,491","2,977","-5,633","2,256","1,467"
