財務省　国際収支状況,,,,,,,,,,,
Ⅰ.季節調整済　国際収支の推移,,,,,,,,,,,
   （データ期間：平成8年～）,,,,,,,,,,,
6s-a-2 月次,,,,,,,,,,,
   (単位　億円）,,,,,,,,,,,
,,,,,,,,,,,
Japan's Balance of Payments,,,,,,,,,,,
Historical Data,,,,,,,,,,,
Ⅰ.Summary of balance of payments　,,,,,,,,,,,
   Current account (Seasonally-adjusted),,,,,,,,,,,
   (January 1996 - present),,,,,,,,,,,
6s-a-2 Monthly figures,,,,,,,,,,,
   (100 million Yen),,,,,,,,,,,
,,,,,,,,,,,
（備考） ,① （P）は速報値を示す。また、合計は四捨五入により合わないことがある。,,,,,,,,,,
,② 平成25年以前の計数は、国際収支マニュアル第5版準拠統計を第6版の基準により組み替えたもの。,,,,,,,,,,
,③ 年中の国際収支（第2次速報値）公表の翌月に詳細設定の見直し及び季節調整替えを実施し、1996年１月のデータから遡及改訂を行う。,,,,,,,,,,
,④令和8年4月8日付で、令和5年1月から令和7年9月までの計数について一部改訂を行っている。,,,,,,,,,,
(NOTE) ,① （P）shows preliminary figures.Totals may not add due to rounding.,,,,,,,,,,
,"② Until 2013, figures based on BPM5 are rearranged in accordance with BPM6.",,,,,,,,,,
,"③ In the following month of the release of annual BOP (second preliminary) data, data are seasonally adjusted and historical revisions are made from January 1996. ",,,,,,,,,,
,"④ Certain figures from January 2023 up to September 2025 are revised as of April 8, 2026.",,,,,,,,,,
,,,,,,,,,,,
,,,,経常収支,,,,,,,
,,,,Current account,,,,,,,
,,,,,貿易・サービス収支,,,,,第一次所得収支,第二次所得収支
,,,,,Goods & services,,,,,Primary income,Secondary income
,,,,,,貿易収支,,,サービス収支,,
,,,,,,Goods,輸出,輸入,Services,,
,,,,,,,Exports,Imports,,,
,,,,,,,,,,,
平成8年,1月,1996,Jan,"5,370","2,191","7,870","33,958","26,089","-5,679","3,916",-737
,2月,,Feb,"6,407","2,963","8,399","35,098","26,699","-5,436","4,651","-1,208"
,3月,,Mar,"8,864","4,607","9,693","36,216","26,523","-5,086","4,858",-601
,4月,,Apr,"6,235","1,440","6,340","34,490","28,150","-4,900","5,605",-810
,5月,,May,"4,881",264,"5,854","34,374","28,520","-5,590","5,546",-929
,6月,,Jun,"5,160",624,"6,971","35,139","28,168","-6,347","5,293",-758
,7月,,Jul,"5,808","1,317","6,990","35,100","28,110","-5,674","5,356",-865
,8月,,Aug,"6,535","2,278","7,154","34,892","27,738","-4,876","5,133",-876
,9月,,Sep,"6,246","1,893","7,647","36,035","28,388","-5,754","5,152",-798
,10月,,Oct,"5,901","1,355","6,750","36,324","29,574","-5,395","5,189",-642
,11月,,Nov,"6,276","1,809","8,380","38,210","29,831","-6,571","5,371",-904
,12月,,Dec,"7,567","3,131","9,064","38,778","29,714","-5,933","5,267",-830
平成9年,1月,1997,Jan,"6,947","2,653","7,881","39,280","31,399","-5,228","5,208",-914
,2月,,Feb,"6,229","2,208","8,340","39,979","31,639","-6,131","5,242","-1,221"
,3月,,Mar,"6,893","1,903","7,873","40,393","32,520","-5,970","5,983",-993
,4月,,Apr,"10,069","4,635","9,916","41,322","31,406","-5,280","6,305",-871
,5月,,May,"9,600","4,818","10,559","40,998","30,439","-5,742","5,802","-1,020"
,6月,,Jun,"9,749","5,125","10,652","39,882","29,229","-5,527","5,571",-947
,7月,,Jul,"8,483","4,149","9,763","39,253","29,490","-5,615","5,030",-696
,8月,,Aug,"9,707","5,090","10,732","40,173","29,441","-5,642","5,364",-746
,9月,,Sep,"9,869","5,048","10,211","40,428","30,217","-5,163","5,446",-625
,10月,,Oct,"12,954","7,583","12,588","42,255","29,667","-5,005","6,312",-941
,11月,,Nov,"12,515","7,683","12,552","42,039","29,487","-4,869","5,591",-759
,12月,,Dec,"12,213","6,773","12,590","43,161","30,571","-5,817","6,358",-917
平成10年,1月,1998,Jan,"10,022","5,230","10,496","41,879","31,382","-5,266","5,748",-956
,2月,,Feb,"14,493","9,707","14,620","40,918","26,298","-4,913","5,603",-817
,3月,,Mar,"12,666","7,609","12,986","40,247","27,261","-5,377","6,020",-962
,4月,,Apr,"10,377","7,693","13,663","40,337","26,675","-5,969","3,609",-926
,5月,,May,"14,323","10,078","15,446","41,499","26,053","-5,369","5,014",-768
,6月,,Jun,"12,273","7,493","13,202","40,799","27,597","-5,710","5,821","-1,040"
,7月,,Jul,"12,350","8,194","14,005","41,504","27,499","-5,811","5,153",-997
,8月,,Aug,"13,830","8,795","13,771","41,037","27,266","-4,976","5,905",-870
,9月,,Sep,"13,685","7,873","13,360","41,013","27,654","-5,486","6,825","-1,013"
,10月,,Oct,"11,968","8,126","13,940","39,221","25,281","-5,814","4,911","-1,068"
,11月,,Nov,"11,590","7,202","12,584","37,222","24,639","-5,382","5,378",-990
,12月,,Dec,"13,112","8,823","13,993","37,468","23,475","-5,170","5,270",-982
平成11年,1月,1999,Jan,"11,935","8,340","13,456","37,617","24,162","-5,116","4,566",-971
,2月,,Feb,"8,277","4,847","10,503","35,674","25,171","-5,657","4,358",-927
,3月,,Mar,"10,282","8,081","12,920","36,929","24,009","-4,840","4,781","-2,580"
,4月,,Apr,"8,755","6,281","11,641","37,067","25,427","-5,359","3,330",-856
,5月,,May,"11,904","6,727","11,680","37,431","25,751","-4,953","5,952",-775
