Date,Portfolio Investment Liabilities/Total/Net
2014-01-01,36902.35528116
2014-02-01,-13988.95018293
2014-03-01,-35601.70271944
2014-04-01,33877.45001558
2014-05-01,31373.2864806
2014-06-01,-20256.30726296
2014-07-01,49018.9674523
2014-08-01,8174.17328725
2014-09-01,-5721.82135442
2014-10-01,48742.75351606
2014-11-01,50332.33936009
2014-12-01,-12036.25955325
2015-01-01,15409.57699595
2015-02-01,24102.14827525
2015-03-01,18452.4556988
2015-04-01,45247.9760404
2015-05-01,34655.98022262
2015-06-01,-57571.12633454
2015-07-01,50587.84222619
2015-08-01,-9231.1083887
2015-09-01,-19317.051435
2015-10-01,86523.90069016
2015-11-01,15251.1603576
2015-12-01,5423.0941005
2016-01-01,2069.77569796
2016-02-01,-44043.87969547
2016-03-01,-25848.89792192
2016-04-01,59739.54350763
2016-05-01,-38414.24598117
2016-06-01,-1961.43827249
2016-07-01,39066.44528634
2016-08-01,-30548.68417387
2016-09-01,10208.88001511
2016-10-01,-5637.34935105
2016-11-01,39670.89112232
2016-12-01,26274.01828788
2017-01-01,42352.90690701
2017-02-01,13040.91379495
2017-03-01,-44715.56631876
2017-04-01,40524.75345965
2017-05-01,-6604.15172894
2017-06-01,12606.0244582
2017-07-01,-3745.17472392
2017-08-01,38431.44245128
2017-09-01,6777.70701677
2017-10-01,19987.72418932
2017-11-01,29083.14838099
2017-12-01,23370.47748075
2018-01-01,-13370.24523424
2018-02-01,-9187.29521674
2018-03-01,-38026.5848439
2018-04-01,54752.0301702
2018-05-01,-24249.3316648
2018-06-01,39038.9249138
2018-07-01,-5643.18567138
2018-08-01,16179.63134666
2018-09-01,-9894.67724536
2018-10-01,8753.41182168
2018-11-01,74331.31710659
2018-12-01,15142.25560696
2019-01-01,17208.62893865
2019-02-01,20342.7861787
2019-03-01,-17756.92161066
2019-04-01,39046.42352736
2019-05-01,46391.7396245
2019-06-01,-32504.99813748
2019-07-01,9228.06411424
2019-08-01,37424.43690092
2019-09-01,-74813.57580931
2019-10-01,45434.37235368
2019-11-01,37347.88639808
2019-12-01,-19380.82552171
2020-01-01,50812.9928038
2020-02-01,13732.2933895
2020-03-01,-134421.05682489
2020-04-01,-4314.06455324
2020-05-01,44664.93571559
2020-06-01,-9044.31024852
2020-07-01,86532.18144674
2020-08-01,-34226.13715146
2020-09-01,-16679.27476914
2020-10-01,110013.27319484
2020-11-01,-32588.91504141
2020-12-01,54064.34014318
2021-01-01,85704.53639114
2021-02-01,-12003.8465681
2021-03-01,-68684.50738427
2021-04-01,-6856.75716621
2021-05-01,1379.35293493
2021-06-01,44191.87513491
2021-07-01,68729.32052697
2021-08-01,-21725.49444232
2021-09-01,-17117.9033376
2021-10-01,74992.23921473
2021-11-01,55428.20771494
2021-12-01,9051.61693822
2022-01-01,-6800.30531227
2022-02-01,-1352.10068441
2022-03-01,-88317.06187386
2022-04-01,45604.74141035
2022-05-01,39315.91029317
2022-06-01,-34702.59466244
2022-07-01,113043.63338575
2022-08-01,-12150.88480932
2022-09-01,-72314.31856443
2022-10-01,-24119.93655957
2022-11-01,19898.00694353
2022-12-01,-13844.20720769
2023-01-01,-63597.33965864
2023-02-01,33913.284604
2023-03-01,-14143.07720082
2023-04-01,50050.65146573
2023-05-01,29866.30490075
2023-06-01,47311.21065177
2023-07-01,-59097.87876832
2023-08-01,-72668.3782056
2023-09-01,-59731.24747722
2023-10-01,-21633.98315877
2023-11-01,41457.73633849
2023-12-01,-12252.58397724
2024-01-01,56812.18018041
2024-02-01,35889.64212819
2024-03-01,-8736.07310887
2024-04-01,-32250.57509846
2024-05-01,21183.52956485
2024-06-01,-54072.90916646
2024-07-01,-70135.45053251
2024-08-01,-14994.92298024
2024-09-01,-60364.82659701
2024-10-01,54648.58416544
2024-11-01,3214.3734417
2024-12-01,-51214.47779882
2025-01-01,63786.89655607
2025-02-01,-26253.20654702
2025-03-01,-45950.9355944
2025-04-01,125895.99430216
2025-05-01,23438.20426989
2025-06-01,21009.83037138
2025-07-01,65109.64244695
2025-08-01,19896.93592072
2025-09-01,-62834.79316075
2025-10-01,124560.05942968
2025-11-01,20183.05429956
2025-12-01,-18451.3611896
2026-01-01,108651.56012952
2026-02-01,83522.71514099
2026-03-01,-109330.45595083
2026-04-01,126044.99408441
2026-05-01,22546.63443147
