Date,Portfolio Investment Liabilities/Equity and investment fund shares/Net
2014-01-01,-10000.24098
2014-02-01,-1556.13207
2014-03-01,-10962.85223
2014-04-01,2858.08498
2014-05-01,-414.99613
2014-06-01,10554.73014
2014-07-01,8518.54177
2014-08-01,-4915.68755525
2014-09-01,7567.07886
2014-10-01,6940.69245
2014-11-01,26692.8149032
2014-12-01,2380.06011
2015-01-01,-8240.90707
2015-02-01,3260.03507
2015-03-01,9175.9820596
2015-04-01,26727.6174752
2015-05-01,14714.81234
2015-06-01,-2329.06099
2015-07-01,-524.71117
2015-08-01,-13864.14515
2015-09-01,-30456.71914
2015-10-01,10865.49795
2015-11-01,8411.5846722
2015-12-01,-4459.77583
2016-01-01,-16589.39871
2016-02-01,-28381.91289
2016-03-01,-19430.1209
2016-04-01,11882.3295
2016-05-01,-2971.09850317
2016-06-01,-4735.26838
2016-07-01,-1136.83735
2016-08-01,-4814.32777
2016-09-01,-12529.54174
2016-10-01,8896.88925
2016-11-01,12262.22028
2016-12-01,6235.96209
2017-01-01,-783.32908
2017-02-01,-2043.73549
2017-03-01,-16284.00419
2017-04-01,14981.42988
2017-05-01,6982.27478
2017-06-01,2932.46214
2017-07-01,6565.03578
2017-08-01,-10639.83772
2017-09-01,-13223.97501
2017-10-01,34513.5137562
2017-11-01,-4214.54455
2017-12-01,-405.04626
2018-01-01,6810.49877
2018-02-01,-3065.05164
2018-03-01,-39212.43733424
2018-04-01,16686.77853
2018-05-01,-4253.505794
2018-06-01,-9063.26876
2018-07-01,7249.20645
2018-08-01,-8690.7124204
2018-09-01,-19444.70185
2018-10-01,16132.81928424
2018-11-01,-908.9156
2018-12-01,-7614.27757
2019-01-01,25460.39833
2019-02-01,-4490.52674
2019-03-01,-35325.85419
2019-04-01,42582.93589
2019-05-01,-1725.44062
2019-06-01,-4227.43205
2019-07-01,-166.67527
2019-08-01,-9078.6511
2019-09-01,-22371.35658
2019-10-01,29533.05363
2019-11-01,12887.57172
2019-12-01,1100.41497
2020-01-01,-4001.59147
2020-02-01,-7199.32198
2020-03-01,-48350.8542287
2020-04-01,641.39917
2020-05-01,-5150.58227
2020-06-01,-12412.23873
2020-07-01,-4150.78539
2020-08-01,-918.71682
2020-09-01,-22388.15612
2020-10-01,16976.19888
2020-11-01,-35.57675
2020-12-01,-371.456664
2021-01-01,7329.73807
2021-02-01,1497.85063
2021-03-01,-5956.61905
2021-04-01,20564.76492
2021-05-01,-6093.68492
2021-06-01,9.51501
2021-07-01,1976.23705
2021-08-01,7.63738
2021-09-01,-11776.34019
2021-10-01,26767.04851
2021-11-01,-777.13029896
2021-12-01,-12822.48572
2022-01-01,5722.08371
2022-02-01,-8394.76999
2022-03-01,-24690.3155
2022-04-01,34331.34758
2022-05-01,-3668.20107
2022-06-01,-15637.41745
2022-07-01,10944.34422
2022-08-01,-7105.85679
2022-09-01,-29671.37186
2022-10-01,20771.13004
2022-11-01,8957.00138
2022-12-01,1928.56957
2023-01-01,2671.30994
2023-02-01,-2393.48044
2023-03-01,-35848.18601
2023-04-01,49780.0528
2023-05-01,27811.58915
2023-06-01,18195.85673
2023-07-01,9274.11416
2023-08-01,-6970.6478
2023-09-01,-53498.7355
2023-10-01,26296.94775
2023-11-01,11167.55015
2023-12-01,-11311.59532
2024-01-01,28106.53086
2024-02-01,6872.03407
2024-03-01,-18920.45575
2024-04-01,33245.79664
2024-05-01,13835.4709008
2024-06-01,-683.44487
2024-07-01,-2963.0080676
2024-08-01,-9098.19132
2024-09-01,-45068.41719
2024-10-01,27766.06418
2024-11-01,-5046.55508
2024-12-01,-5538.62714
2025-01-01,7078.33943
2025-02-01,-25583.28958
2025-03-01,-32307.30128
2025-04-01,37784.05077
2025-05-01,25510.65469
2025-06-01,10968.54724
2025-07-01,23410.18873
2025-08-01,4270.16085
2025-09-01,-34977.71001587
2025-10-01,62381.66696
2025-11-01,10065.36657
2025-12-01,-4167.2274
2026-01-01,28642.7534406
2026-02-01,34428.441422
2026-03-01,-72271.29228
2026-04-01,93852.65572
2026-05-01,21744.04706
