Date,Portfolio Investment Liabilities/Short-term debt securities/Net
2014-01-01,44348.38488
2014-02-01,-12250.0416484
2014-03-01,-27364.92415288
2014-04-01,18908.33754694
2014-05-01,20319.3385706
2014-06-01,-21482.95866296
2014-07-01,26788.79019362
2014-08-01,-5167.77934
2014-09-01,-46285.77107131
2014-10-01,22350.83242848
2014-11-01,10243.33163456
2014-12-01,-20052.3193331
2015-01-01,25420.11437
2015-02-01,9539.32353
2015-03-01,-346.8562796
2015-04-01,14150.3185852
2015-05-01,22371.81531364
2015-06-01,-43848.25159068
2015-07-01,25512.17644741
2015-08-01,-17307.63013533
2015-09-01,10742.0548232
2015-10-01,41558.5852092
2015-11-01,-8091.2076461
2015-12-01,17583.89361
2016-01-01,12315.95264788
2016-02-01,-31999.970415
2016-03-01,1253.01198448
2016-04-01,6776.7535376
2016-05-01,-44222.3261147
2016-06-01,10184.38675
2016-07-01,23200.89067504
2016-08-01,-37088.97291986
2016-09-01,23317.820396
2016-10-01,-17221.05322968
2016-11-01,26469.95912088
2016-12-01,21154.26587852
2017-01-01,23001.815479
2017-02-01,3408.3070006
2017-03-01,-18113.65407172
2017-04-01,13492.164908
2017-05-01,-28724.87508137
2017-06-01,16989.14249799
2017-07-01,-26966.09311584
2017-08-01,24998.9060268
2017-09-01,6863.44838384
2017-10-01,-18953.91477851
2017-11-01,21909.69758034
2017-12-01,26134.32315788
2018-01-01,-13130.02012724
2018-02-01,-6719.21715896
2018-03-01,9073.65894484
2018-04-01,15303.48467629
2018-05-01,-17418.5743258
2018-06-01,44192.7170378
2018-07-01,-31607.3470397
2018-08-01,34316.14521966
2018-09-01,22068.08792144
2018-10-01,-20989.87967506
2018-11-01,40676.96102494
2018-12-01,5079.1641496
2019-01-01,-24818.7442551
2019-02-01,4138.1082689
2019-03-01,2890.32877019
2019-04-01,-15357.95893632
2019-05-01,30037.8688371
2019-06-01,-22853.84863692
2019-07-01,-30876.69009448
2019-08-01,40250.78049234
2019-09-01,-45576.65949612
2019-10-01,5749.42791392
2019-11-01,20609.89199358
2019-12-01,-13187.41526104
2020-01-01,43781.06928711
2020-02-01,-13643.603503
2020-03-01,-30410.0717676
2020-04-01,-3251.74879572
2020-05-01,43788.8544196
2020-06-01,31858.29885696
2020-07-01,62171.11324
2020-08-01,-19104.02002174
2020-09-01,-15085.32229184
2020-10-01,77451.60531085
2020-11-01,-41202.082518
2020-12-01,75991.5290948
2021-01-01,69104.74184
2021-02-01,-4354.721914
2021-03-01,-58332.6201738
2021-04-01,-47313.24957812
2021-05-01,-9575.29749
2021-06-01,23366.7344852
2021-07-01,17067.2496752
2021-08-01,-42790.516458
2021-09-01,-270.602606
2021-10-01,51918.580278
2021-11-01,27087.39179
2021-12-01,-13541.7902536
2022-01-01,-11614.7778108
2022-02-01,5329.64358
2022-03-01,-37071.741359
2022-04-01,4113.51536592
2022-05-01,34807.8234167
2022-06-01,20282.6903883
2022-07-01,58702.1281448
2022-08-01,-25079.30210125
2022-09-01,5241.18951768
2022-10-01,-14777.98228635
2022-11-01,-431.3130016
2022-12-01,41321.67804715
2023-01-01,-29911.7454622
2023-02-01,25706.13752582
2023-03-01,-6040.22809088
2023-04-01,-22682.4227413
2023-05-01,-4328.59989535
2023-06-01,37508.28081096
2023-07-01,-48744.01092914
2023-08-01,-62704.26228155
2023-09-01,24308.21630272
2023-10-01,-26884.58454
2023-11-01,13245.77084
2023-12-01,15483.57998448
2024-01-01,8921.66793391
2024-02-01,22186.57839819
2024-03-01,19026.7191935
2024-04-01,-54747.52635268
2024-05-01,7156.64417076
2024-06-01,-34312.46667552
2024-07-01,-89681.03564176
2024-08-01,-23158.11098704
2024-09-01,-16425.2577623
2024-10-01,23910.6283555
2024-11-01,6649.34629492
2024-12-01,-36812.29571734
2025-01-01,37042.61379992
2025-02-01,-15661.7342524
2025-03-01,-44798.1748999
2025-04-01,34188.89535272
2025-05-01,1166.2008591
2025-06-01,-11730.93446224
2025-07-01,4713.09976203
2025-08-01,10648.8246112
2025-09-01,-28395.1243516
2025-10-01,52722.6052261
2025-11-01,-8446.79527975
2025-12-01,-18748.49290016
2026-01-01,27092.21555445
2026-02-01,19082.3766142
2026-03-01,-55561.86812445
2026-04-01,-11426.01684344
2026-05-01,-5176.43460104
