,Date,Value,Series_Code,Series_Name,Unit,Frequency
0,201401,-10000.24098,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
1,201402,-1556.13207,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
2,201403,-10962.85223,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
3,201404,2858.08498,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
4,201405,-414.99613,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
5,201406,10554.73014,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
6,201407,8518.54177,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
7,201408,-4915.68755525,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
8,201409,7567.07886,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
9,201410,6940.69245,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
10,201411,26692.8149032,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
11,201412,2380.06011,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
12,201501,-8240.90707,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
13,201502,3260.03507,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
14,201503,9175.9820596,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
15,201504,26727.6174752,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
16,201505,14714.81234,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
17,201506,-2329.06099,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
18,201507,-524.71117,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
19,201508,-13864.14515,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
20,201509,-30456.71914,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
21,201510,10865.49795,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
22,201511,8411.5846722,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
23,201512,-4459.77583,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
24,201601,-16589.39871,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
25,201602,-28381.91289,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
26,201603,-19430.1209,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
27,201604,11882.3295,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
28,201605,-2971.09850317,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
29,201606,-4735.26838,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
30,201607,-1136.83735,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
31,201608,-4814.32777,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
32,201609,-12529.54174,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
33,201610,8896.88925,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
34,201611,12262.22028,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
35,201612,6235.96209,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
36,201701,-783.32908,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
37,201702,-2043.73549,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
38,201703,-16284.00419,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
39,201704,14981.42988,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
40,201705,6982.27478,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
41,201706,2932.46214,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
42,201707,6565.03578,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
43,201708,-10639.83772,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
44,201709,-13223.97501,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
45,201710,34513.5137562,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
46,201711,-4214.54455,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
47,201712,-405.04626,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
48,201801,6810.49877,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
49,201802,-3065.05164,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
50,201803,-39212.43733424,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
51,201804,16686.77853,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
52,201805,-4253.505794,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
53,201806,-9063.26876,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
54,201807,7249.20645,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
55,201808,-8690.7124204,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
56,201809,-19444.70185,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
57,201810,16132.81928424,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
58,201811,-908.9156,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
59,201812,-7614.27757,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
60,201901,25460.39833,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
61,201902,-4490.52674,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
62,201903,-35325.85419,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
63,201904,42582.93589,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
64,201905,-1725.44062,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
65,201906,-4227.43205,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
66,201907,-166.67527,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
67,201908,-9078.6511,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
68,201909,-22371.35658,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
69,201910,29533.05363,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
70,201911,12887.57172,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
71,201912,1100.41497,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
72,202001,-4001.59147,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
73,202002,-7199.32198,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
74,202003,-48350.8542287,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
75,202004,641.39917,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
76,202005,-5150.58227,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
77,202006,-12412.23873,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
78,202007,-4150.78539,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
79,202008,-918.71682,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
80,202009,-22388.15612,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
81,202010,16976.19888,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
