Date,Value
1994-01-01,465065.0
1994-04-01,461497.8
1994-07-01,466136.4
1994-10-01,464395.6
1995-01-01,468895.6
1995-04-01,473156.0
1995-07-01,478593.0
1995-10-01,479789.2
1996-01-01,484268.9
1996-04-01,489500.4
1996-07-01,490385.9
1996-10-01,495641.6
1997-01-01,498907.8
1997-04-01,495402.7
1997-07-01,496173.3
1997-10-01,496112.0
1998-01-01,488264.2
1998-04-01,485566.6
1998-07-01,486201.9
1998-10-01,490396.6
1999-01-01,483236.2
1999-04-01,485679.0
1999-07-01,488376.0
1999-10-01,488083.5
2000-01-01,497255.3
2000-04-01,500296.7
2000-07-01,500070.9
2000-10-01,505253.3
2001-01-01,508208.0
2001-04-01,504352.5
2001-07-01,498415.0
2001-10-01,497326.7
2002-01-01,498587.7
2002-04-01,502166.1
2002-07-01,503711.3
2002-10-01,504887.9
2003-01-01,504307.3
2003-04-01,508468.4
2003-07-01,509943.7
2003-10-01,515100.9
2004-01-01,519507.8
2004-04-01,519128.9
2004-07-01,522005.8
2004-10-01,520016.1
2005-01-01,523235.1
2005-04-01,528264.2
2005-07-01,533024.7
2005-10-01,534524.0
2006-01-01,534939.2
2006-04-01,536420.6
2006-07-01,536346.4
2006-10-01,543555.7
2007-01-01,547462.4
2007-04-01,548310.5
2007-07-01,544713.2
2007-10-01,547805.2
2008-01-01,548947.2
2008-04-01,546315.3
2008-07-01,540243.9
2008-10-01,527418.9
2009-01-01,504026.6
2009-04-01,509666.7
2009-07-01,506357.0
2009-10-01,514486.5
2010-01-01,520865.2
2010-04-01,528046.0
2010-07-01,537151.9
2010-10-01,532537.7
2011-01-01,524897.7
2011-04-01,521540.1
2011-07-01,534023.4
2011-10-01,534208.8
2012-01-01,542328.9
2012-04-01,537303.0
2012-07-01,535178.5
2012-10-01,534885.4
2013-01-01,541717.8
2013-04-01,547274.7
2013-07-01,552467.4
2013-10-01,551690.3
2014-01-01,557466.0
2014-04-01,549438.4
2014-07-01,550514.1
2014-10-01,553695.8
2015-01-01,562615.6
2015-04-01,562950.8
2015-07-01,563779.1
2015-10-01,562695.7
2016-01-01,567582.5
2016-04-01,565642.4
2016-07-01,566913.9
2016-10-01,567003.1
2017-01-01,571132.1
2017-04-01,572968.5
2017-07-01,579488.4
2017-10-01,580391.6
2018-01-01,579495.4
2018-04-01,583149.0
2018-07-01,580294.4
2018-10-01,580699.5
2019-01-01,581449.1
2019-04-01,583719.4
2019-07-01,584013.0
2019-10-01,567204.4
2020-01-01,569434.5
2020-04-01,528206.4
2020-07-01,554588.5
2020-10-01,563848.7
2021-01-01,569978.1
2021-04-01,573957.3
2021-07-01,573137.1
2021-10-01,579998.5
2022-01-01,578113.5
2022-04-01,583356.1
2022-07-01,581257.3
2022-10-01,583951.1
2023-01-01,588715.8
2023-04-01,589184.2
2023-07-01,581135.4
2023-10-01,584209.4
2024-01-01,582459.5
2024-04-01,582337.7
2024-07-01,586317.9
2024-10-01,588359.1
2025-01-01,591344.0
2025-04-01,592943.3
2025-07-01,589459.8
2025-10-01,590545.8
2026-01-01,593218.8
