Date,Japan_2Y_JGB,Japan_10Y_JGB
2018-01-04,-0.138,0.052
2018-01-05,-0.138,0.057
2018-01-09,-0.139,0.067
2018-01-10,-0.129,0.083
2018-01-11,-0.134,0.068
2018-01-12,-0.134,0.073
2018-01-15,-0.14,0.074
2018-01-16,-0.14,0.079
2018-01-17,-0.13,0.084
2018-01-18,-0.13,0.079
2018-01-19,-0.136,0.079
2018-01-22,-0.136,0.079
2018-01-23,-0.142,0.074
2018-01-24,-0.137,0.079
2018-01-25,-0.132,0.084
2018-01-26,-0.132,0.074
2018-01-29,-0.128,0.085
2018-01-30,-0.13,0.095
2018-01-31,-0.137,0.085
2018-02-01,-0.128,0.095
2018-02-02,-0.131,0.085
2018-02-05,-0.137,0.086
2018-02-06,-0.142,0.075
2018-02-07,-0.144,0.075
2018-02-08,-0.148,0.081
2018-02-09,-0.149,0.071
2018-02-13,-0.154,0.071
2018-02-14,-0.154,0.066
2018-02-15,-0.159,0.066
2018-02-16,-0.16,0.062
2018-02-19,-0.151,0.061
2018-02-20,-0.151,0.066
2018-02-21,-0.151,0.058
2018-02-22,-0.151,0.058
2018-02-23,-0.153,0.053
2018-02-26,-0.154,0.054
2018-02-27,-0.162,0.049
2018-02-28,-0.16,0.054
2018-03-01,-0.16,0.048
2018-03-02,-0.155,0.063
2018-03-05,-0.173,0.038
2018-03-06,-0.166,0.049
2018-03-07,-0.162,0.044
2018-03-08,-0.157,0.049
2018-03-09,-0.157,0.044
2018-03-12,-0.153,0.044
2018-03-13,-0.154,0.045
2018-03-14,-0.149,0.045
2018-03-15,-0.145,0.04
2018-03-16,-0.15,0.031
2018-03-19,-0.151,0.036
2018-03-20,-0.156,0.036
2018-03-22,-0.157,0.031
2018-03-23,-0.157,0.016
2018-03-26,-0.158,0.022
2018-03-27,-0.153,0.032
2018-03-28,-0.154,0.032
2018-03-29,-0.14,0.037
2018-03-30,-0.137,0.043
2018-04-02,-0.135,0.042
2018-04-03,-0.141,0.022
2018-04-04,-0.136,0.027
2018-04-05,-0.133,0.037
2018-04-06,-0.143,0.038
2018-04-09,-0.147,0.033
2018-04-10,-0.154,0.033
2018-04-11,-0.158,0.028
2018-04-12,-0.158,0.033
2018-04-13,-0.159,0.033
2018-04-16,-0.155,0.039
2018-04-17,-0.155,0.039
2018-04-18,-0.15,0.034
2018-04-19,-0.141,0.039
2018-04-20,-0.131,0.059
