date,rgdp
1994-01-01,446312.9
1994-04-01,443745.8
1994-07-01,448947.2
1994-10-01,447169.5
1995-01-01,452118.9
1995-04-01,456278.2
1995-07-01,461710.8
1995-10-01,462860.2
1996-01-01,466624.6
1996-04-01,472495.6
1996-07-01,473144.8
1996-10-01,478467.5
1997-01-01,479690.1
1997-04-01,476018.8
1997-07-01,477004.9
1997-10-01,477205.4
1998-01-01,471375.5
1998-04-01,469288.8
1998-07-01,470145.7
1998-10-01,473941.1
1999-01-01,467414.3
1999-04-01,469177.5
1999-07-01,471678.1
1999-10-01,471848.9
2000-01-01,479860.3
2000-04-01,482133.6
2000-07-01,482256.8
2000-10-01,486943.8
2001-01-01,490559.5
2001-04-01,486877.3
2001-07-01,481572.5
2001-10-01,479930.3
2002-01-01,480740.5
2002-04-01,484636
2002-07-01,486158.3
2002-10-01,487510
2003-01-01,487815.1
2003-04-01,491169.1
2003-07-01,492616.9
2003-10-01,497976.4
2004-01-01,501632.5
2004-04-01,501716.9
2004-07-01,504785.3
2004-10-01,503804.6
2005-01-01,506399.9
2005-04-01,510355.4
2005-07-01,515531.7
2005-10-01,516422.7
2006-01-01,517216.9
2006-04-01,518065.1
2006-07-01,517031.4
2006-10-01,523953.5
2007-01-01,527423.9
2007-04-01,527670.7
2007-07-01,524813
2007-10-01,527030.2
2008-01-01,528894.5
2008-04-01,525893.1
2008-07-01,519345.1
2008-10-01,506484.8
2009-01-01,482135.6
2009-04-01,491601.4
2009-07-01,491389.6
2009-10-01,497443.4
2010-01-01,502681.6
2010-04-01,508719.1
2010-07-01,517953
2010-10-01,513716.7
2011-01-01,508274.7
2011-04-01,503914.8
2011-07-01,516164.3
2011-10-01,515427
2012-01-01,522513.1
2012-04-01,517829.6
2012-07-01,515875.8
2012-10-01,515500.8
2013-01-01,522601.2
2013-04-01,527330.1
2013-07-01,532383.9
2013-10-01,531773.7
2014-01-01,536107.1
2014-04-01,526358.9
2014-07-01,526822.5
2014-10-01,529340
2015-01-01,537515.2
2015-04-01,538260.5
2015-07-01,538675
2015-10-01,537954.4
2016-01-01,541886.7
2016-04-01,541087.9
2016-07-01,541935.1
2016-10-01,542964.6
2017-01-01,547352.5
2017-04-01,549477.7
2017-07-01,553506.5
2017-10-01,554538.8
2018-01-01,555199
2018-04-01,557024.5
2018-07-01,552593.4
2018-10-01,552691.8
2019-01-01,554879.1
2019-04-01,557287.7
2019-07-01,556643.7
2019-10-01,543336.2
2020-01-01,545000.2
2020-04-01,501140.4
2020-07-01,526742.1
2020-10-01,538909.2
2021-01-01,535012.5
2021-04-01,537631
2021-07-01,532777.9
