date,reer
1994-01-01,127.66
1994-02-01,132.8
1994-03-01,133.91
1994-04-01,135.91
1994-05-01,134.26
1994-06-01,133.98
1994-07-01,137.28
1994-08-01,134.66
1994-09-01,135.01
1994-10-01,135.24
1994-11-01,135.38
1994-12-01,132.59
1995-01-01,131.85
1995-02-01,132.46
1995-03-01,141.49
1995-04-01,150.8
1995-05-01,148.75
1995-06-01,148.69
1995-07-01,143.09
1995-08-01,132.92
1995-09-01,125.84
1995-10-01,123.99
1995-11-01,122.42
1995-12-01,122.85
1996-01-01,117.92
1996-02-01,117.04
1996-03-01,116.64
1996-04-01,115.4
1996-05-01,116.73
1996-06-01,113.72
1996-07-01,113.06
1996-08-01,113.62
1996-09-01,111.79
1996-10-01,109.63
1996-11-01,108.76
1996-12-01,107.83
1997-01-01,104.42
1997-02-01,100.56
1997-03-01,101.46
1997-04-01,101.0
1997-05-01,106.95
1997-06-01,110.99
1997-07-01,111.34
1997-08-01,110.42
1997-09-01,108.65
1997-10-01,109.64
1997-11-01,106.07
1997-12-01,107.08
1998-01-01,111.0
1998-02-01,111.65
1998-03-01,107.87
1998-04-01,104.21
1998-05-01,102.73
1998-06-01,100.09
1998-07-01,99.03
1998-08-01,96.25
1998-09-01,102.76
1998-10-01,112.87
1998-11-01,112.77
1998-12-01,114.9
1999-01-01,118.51
1999-02-01,115.32
1999-03-01,113.81
1999-04-01,113.83
1999-05-01,111.46
1999-06-01,112.71
1999-07-01,113.46
1999-08-01,119.47
1999-09-01,126.81
1999-10-01,127.27
1999-11-01,128.67
1999-12-01,131.06
2000-01-01,126.76
2000-02-01,121.66
2000-03-01,125.83
2000-04-01,127.57
2000-05-01,126.45
2000-06-01,127.38
2000-07-01,125.28
2000-08-01,126.07
2000-09-01,128.09
2000-10-01,127.25
2000-11-01,126.69
2000-12-01,122.19
2001-01-01,116.08
2001-02-01,116.49
2001-03-01,112.2
2001-04-01,110.93
2001-05-01,112.78
2001-06-01,112.86
2001-07-01,110.63
2001-08-01,112.09
2001-09-01,113.94
2001-10-01,112.16
2001-11-01,111.05
2001-12-01,106.8
2002-01-01,102.22
2002-02-01,100.79
2002-03-01,102.65
2002-04-01,102.32
2002-05-01,104.8
