tier,period,specification,variable,horizon,response,lower,upper
daily,paper,restricted,risk_off,0,0.09887503989921978,,
daily,paper,restricted,risk_off,1,0.05075059737419655,,
daily,paper,restricted,risk_off,3,0.014396571622900551,,
daily,paper,restricted,risk_off,6,0.005546207217414507,,
daily,paper,restricted,risk_off,12,0.0028699783628774616,,
daily,paper,restricted,risk_off,24,0.0015725478938906836,,
daily,paper,restricted,risk_off,125,0.0033488455082156753,,
daily,paper,restricted,log_wui,0,-1.8924710707846097e-05,,
daily,paper,restricted,log_wui,1,0.0004625778446739543,,
daily,paper,restricted,log_wui,3,0.00024047237709950428,,
daily,paper,restricted,log_wui,6,0.0008185245108847789,,
daily,paper,restricted,log_wui,12,-0.00204847541573457,,
daily,paper,restricted,log_wui,24,-0.003488007084628104,,
daily,paper,restricted,log_wui,125,-0.001674868769762482,,
daily,paper,restricted,spread,0,0.00412067417748386,,
daily,paper,restricted,spread,1,0.0027147048067207033,,
daily,paper,restricted,spread,3,0.003597633894496925,,
daily,paper,restricted,spread,6,0.003752454695726764,,
daily,paper,restricted,spread,12,0.006951418611462534,,
daily,paper,restricted,spread,24,0.007225127052213867,,
daily,paper,restricted,spread,125,0.009027985016434734,,
daily,paper,restricted,log_rgdp,0,-2.136634850541149e-05,,
daily,paper,restricted,log_rgdp,1,-5.374310690287933e-05,,
daily,paper,restricted,log_rgdp,3,-8.334715335071601e-05,,
daily,paper,restricted,log_rgdp,6,-0.00010683567041125341,,
daily,paper,restricted,log_rgdp,12,-0.00019433731433961084,,
daily,paper,restricted,log_rgdp,24,-0.00026222219399858873,,
daily,paper,restricted,log_rgdp,125,-0.00043413014386610243,,
daily,paper,restricted,log_reer,0,7.580262997909205e-05,,
daily,paper,restricted,log_reer,1,0.00014383643542912401,,
daily,paper,restricted,log_reer,3,0.00024779627233558187,,
daily,paper,restricted,log_reer,6,0.0004617023439065854,,
daily,paper,restricted,log_reer,12,0.0006354566907066051,,
daily,paper,restricted,log_reer,24,0.0007667692507408873,,
daily,paper,restricted,log_reer,125,0.0012254870502634734,,
daily,paper,restricted,log_nikkei,0,-0.0013607314537517822,,
daily,paper,restricted,log_nikkei,1,-0.00312659354347351,,
daily,paper,restricted,log_nikkei,3,-0.0029298182736028117,,
daily,paper,restricted,log_nikkei,6,-0.002738847853274048,,
daily,paper,restricted,log_nikkei,12,-0.002851128990134328,,
daily,paper,restricted,log_nikkei,24,-0.0030741526600764697,,
daily,paper,restricted,log_nikkei,125,-0.004238703180918573,,
daily,paper,restricted,debtsec_pct,0,0.003984478507891258,,
daily,paper,restricted,debtsec_pct,1,-0.004467444297823862,,
daily,paper,restricted,debtsec_pct,3,-0.028902697212032633,,
daily,paper,restricted,debtsec_pct,6,-0.026297966768697542,,
daily,paper,restricted,debtsec_pct,12,-0.021924671368470684,,
daily,paper,restricted,debtsec_pct,24,-0.0025513867881874776,,
daily,paper,restricted,debtsec_pct,125,-0.007244879030223918,,
daily,paper,restricted,equity_pct,0,0.001922494821053313,,
