specification,variable,horizon,response,lower,upper,significant_95
restricted,debtsec_pct,1,-0.15472933544749232,-0.37176066006305936,0.06504209455788469,False
restricted,debtsec_pct,3,0.05476471277328823,-0.044996012421011665,0.17680195988436345,False
restricted,debtsec_pct,6,0.007489230203667479,-0.025040655101229145,0.059559278440571455,False
restricted,debtsec_pct,12,-0.004093120588059318,-0.01948993178100107,0.018674550751928674,False
restricted,debtsec_pct,24,-0.0006113475577679223,-0.006520787411945138,0.009225736530135574,False
restricted,equity_pct,1,-0.026532740475501495,-0.12043903811884697,0.08906625603781246,False
restricted,equity_pct,3,-0.04347565389233237,-0.09612023303028468,0.019707385128417406,False
restricted,equity_pct,6,0.008304853080862432,-0.014468884979824742,0.046436566949954815,False
restricted,equity_pct,12,-0.0003398655094534436,-0.012863849038170993,0.02020123791119432,False
restricted,equity_pct,24,-0.008375921048047092,-0.021429920351623152,0.0023024476613028957,False
restricted,other_pct,1,0.009294235405489572,-0.36777807863690115,0.403127755764658,False
restricted,other_pct,3,-0.22419517831363533,-0.4164632975761283,-0.028073332581006253,True
restricted,other_pct,6,-0.0957207727164409,-0.20350951435327538,0.006489490792685882,False
restricted,other_pct,12,-0.06643473977845885,-0.13230305843769666,0.004060091869527725,False
restricted,other_pct,24,-0.05514117650198569,-0.1117067129535562,-0.0008456958119013052,True
restricted,direct_pct,1,-0.017137820292787,-0.047020981358771016,0.01362496508357313,False
restricted,direct_pct,3,0.04190249111486478,0.018943576329375184,0.06333209362231317,True
restricted,direct_pct,6,0.002822083713402983,-0.009301527325541218,0.013849684978602441,False
restricted,direct_pct,12,0.002759962659369978,-0.0063745734116431975,0.011419480664728327,False
restricted,direct_pct,24,0.0057360193364359305,-0.0015644995030861125,0.014310954422944179,False
unrestricted,debtsec_pct,1,-0.1459835810519401,-0.36459002418601494,0.08875038868739797,False
unrestricted,debtsec_pct,3,0.0744468095220504,-0.03808271643792999,0.21284518370473546,False
unrestricted,debtsec_pct,6,0.008233106095464118,-0.041207928726066746,0.06734485689355411,False
unrestricted,debtsec_pct,12,-0.004945980352345353,-0.024561953883943017,0.02426968679141831,False
unrestricted,debtsec_pct,24,-0.0037079359205579154,-0.013400182056499297,0.010253563740221912,False
unrestricted,equity_pct,1,-0.04132434178508222,-0.14037526063019093,0.07226030996630563,False
unrestricted,equity_pct,3,-0.04864289804257446,-0.10235108771461027,0.025063652452844205,False
unrestricted,equity_pct,6,0.019681590608030583,-0.008303203896481292,0.063239687226295,False
unrestricted,equity_pct,12,0.004067022832631486,-0.009028702293367908,0.028685270502513977,False
unrestricted,equity_pct,24,0.0004294243223334435,-0.00898508433277803,0.00952531320114349,False
unrestricted,other_pct,1,0.02226455442012023,-0.389068057967039,0.39238184547941857,False
unrestricted,other_pct,3,-0.18275335677349977,-0.3929825926633927,0.04087825965955376,False
unrestricted,other_pct,6,-0.016350419357183628,-0.12567899027373358,0.07967298191877825,False
unrestricted,other_pct,12,-0.031538594432369345,-0.07980552159426044,0.015577263761042428,False
unrestricted,other_pct,24,-0.014402163911638852,-0.03513183434408335,0.008421157903139711,False
unrestricted,direct_pct,1,-0.019346813742434604,-0.056603106710337116,0.01849670226680879,False
unrestricted,direct_pct,3,0.036191314697756556,0.007024314433820786,0.05976992061838384,True
unrestricted,direct_pct,6,-0.009706632487727877,-0.02191420048316496,0.0016324101107038711,False
unrestricted,direct_pct,12,-0.0015173196394313705,-0.00693764065256392,0.0026759312039240637,False
unrestricted,direct_pct,24,-0.0001836499665933544,-0.002969843798275722,0.002873802823928928,False
