date,log_wui
1999-01-14,-2.065043572437227
1999-01-15,-2.064747288965051
1999-01-18,-2.064300628051086
1999-01-19,-2.063703589695332
1999-01-20,-2.062956173897789
1999-01-21,-2.0620583806584567
1999-01-22,-2.061010209977336
1999-01-25,-2.059811661854426
1999-01-26,-2.058462736289727
1999-01-27,-2.056963433283239
1999-01-28,-2.0553137528349628
1999-01-29,-2.053513694944897
1999-02-01,-2.051563259613042
1999-02-02,-2.0494624468393985
1999-02-03,-2.047211256623966
1999-02-04,-2.0448096889667444
1999-02-05,-2.042257743867734
1999-02-08,-2.0395554213269342
1999-02-09,-2.036702721344346
1999-02-10,-2.0336996439199684
1999-02-11,-2.030546189053802
1999-02-12,-2.027242356745847
1999-02-15,-2.0237881469961025
1999-02-16,-2.020183559804569
1999-02-17,-2.0164285951712473
1999-02-18,-2.012523253096136
1999-02-19,-2.008467533579236
1999-02-22,-2.004261436620547
1999-02-23,-1.9999049622200689
1999-02-24,-1.9953981103778018
1999-02-25,-1.990740881093746
1999-02-26,-1.985933274367901
1999-03-01,-1.9809752902002673
1999-03-02,-1.9758669285908443
1999-03-03,-1.9706081895396326
1999-03-04,-1.965199073046632
1999-03-05,-1.9596395791118422
1999-03-08,-1.9539297077352635
1999-03-09,-1.948069458916896
1999-03-10,-1.9420588326567394
1999-03-11,-1.935897828954794
1999-03-12,-1.9295864478110594
1999-03-15,-1.923124689225536
1999-03-16,-1.9165125531982237
1999-03-17,-1.9097500397291223
1999-03-18,-1.9028371488182318
1999-03-19,-1.8957738804655526
1999-03-22,-1.8885602346710844
1999-03-23,-1.8811962114348273
1999-03-24,-1.8736818107567812
1999-03-25,-1.8660170326369458
1999-03-26,-1.858201877075322
1999-03-29,-1.850236344071909
1999-03-30,-1.842120433626707
1999-03-31,-1.833854145739716
1999-04-01,-1.5952722347074813
1999-04-02,-1.5883706433126823
1999-04-05,-1.5816892542628214
1999-04-06,-1.5752280675578985
1999-04-07,-1.5689870831979136
1999-04-08,-1.5629663011828667
1999-04-09,-1.557165721512758
1999-04-12,-1.5515853441875869
1999-04-13,-1.5462251692073539
1999-04-14,-1.541085196572059
1999-04-15,-1.536165426281702
1999-04-16,-1.531465858336283
1999-04-19,-1.526986492735802
1999-04-20,-1.5227273294802588
1999-04-21,-1.5186883685696537
1999-04-22,-1.5148696100039867
1999-04-23,-1.5112710537832577
1999-04-26,-1.5078926999074667
1999-04-27,-1.5047345483766135
1999-04-28,-1.5017965991906983
1999-04-29,-1.4990788523497212
1999-04-30,-1.496581307853682
1999-05-03,-1.4943039657025807
1999-05-04,-1.4922468258964177
1999-05-05,-1.4904098884351924
1999-05-06,-1.4887931533189052
1999-05-07,-1.487396620547556
1999-05-10,-1.4862202901211445
1999-05-11,-1.4852641620396714
1999-05-12,-1.484528236303136
1999-05-13,-1.4840125129115387
1999-05-14,-1.4837169918648794
1999-05-17,-1.483641673163158
1999-05-18,-1.4837865568063748
1999-05-19,-1.4841516427945294
1999-05-20,-1.484736931127622
1999-05-21,-1.4855424218056525
1999-05-24,-1.4865681148286212
1999-05-25,-1.4878140101965278
1999-05-26,-1.4892801079093723
1999-05-27,-1.4909664079671547
1999-05-28,-1.4928729103698752
1999-05-31,-1.4949996151175338
1999-06-01,-1.4973465222101303
1999-06-02,-1.4999136316476647
1999-06-03,-1.5027009434301373
1999-06-04,-1.5057084575575477
1999-06-07,-1.508936174029896
1999-06-08,-1.5123840928471826
1999-06-09,-1.5160522140094068
1999-06-10,-1.5199405375165693
1999-06-11,-1.5240490633686696
1999-06-14,-1.528377791565708
1999-06-15,-1.5329267221076843
1999-06-16,-1.5376958549945985
1999-06-17,-1.542685190226451
1999-06-18,-1.547894727803241
1999-06-21,-1.5533244677249693
1999-06-22,-1.5589744099916356
1999-06-23,-1.56484455460324
1999-06-24,-1.5709349015597822
1999-06-25,-1.5772454508612623
1999-06-28,-1.5837762025076805
1999-06-29,-1.5905271564990366
1999-06-30,-1.5974983128353308
1999-07-01,-1.7815871877168545
1999-07-02,-1.7886393734967996
1999-07-05,-1.7956613463554765
1999-07-06,-1.8026531062928848
1999-07-07,-1.8096146533090247
1999-07-08,-1.8165459874038963
1999-07-09,-1.8234471085774997
1999-07-12,-1.8303180168298345
1999-07-13,-1.837158712160901
1999-07-14,-1.843969194570699
1999-07-15,-1.8507494640592288
1999-07-16,-1.8574995206264902
1999-07-19,-1.8642193642724831
1999-07-20,-1.8709089949972078
1999-07-21,-1.877568412800664
1999-07-22,-1.8841976176828519
1999-07-23,-1.8907966096437714
1999-07-26,-1.8973653886834225
1999-07-27,-1.9039039548018053
1999-07-28,-1.9104123079989197
1999-07-29,-1.9168904482747657
1999-07-30,-1.9233383756293434
1999-08-02,-1.9297560900626527
1999-08-03,-1.9361435915746936
1999-08-04,-1.9425008801654662
1999-08-05,-1.9488279558349704
1999-08-06,-1.955124818583206
1999-08-09,-1.9613914684101734
1999-08-10,-1.9676279053158725
1999-08-11,-1.9738341293003032
1999-08-12,-1.9800101403634656
1999-08-13,-1.9861559385053595
1999-08-16,-1.992271523725985
1999-08-17,-1.9983568960253422
1999-08-18,-2.004412055403431
1999-08-19,-2.0104370018602515
1999-08-20,-2.0164317353958037
1999-08-23,-2.0223962560100874
1999-08-24,-2.0283305637031024
1999-08-25,-2.0342346584748494
1999-08-26,-2.040108540325328
1999-08-27,-2.0459522092545384
1999-08-30,-2.0517656652624803
1999-08-31,-2.0575489083491534
1999-09-01,-2.0633019385145586
1999-09-02,-2.0690247557586954
1999-09-03,-2.074717360081564
1999-09-06,-2.080379751483164
1999-09-07,-2.086011929963495
1999-09-08,-2.0916138955225585
1999-09-09,-2.0971856481603535
1999-09-10,-2.10272718787688
1999-09-13,-2.108238514672138
1999-09-14,-2.1137196285461277
1999-09-15,-2.119170529498849
1999-09-16,-2.124591217530302
1999-09-17,-2.1299816926404866
1999-09-20,-2.135341954829403
1999-09-21,-2.140672004097051
1999-09-22,-2.1459718404434303
1999-09-23,-2.1512414638685415
1999-09-24,-2.1564808743723844
1999-09-27,-2.1616900719549585
1999-09-28,-2.1668690566162647
1999-09-29,-2.1720178283563025
1999-09-30,-2.1771363871750715
1999-10-01,
1999-10-04,
1999-10-05,
1999-10-06,
1999-10-07,
1999-10-08,
